frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.49954867362976074,direct,direct,direct,0,0,0,3,0,0,5,1,-0.39469327080499356,0.7186478620526479,-1.2580459845391083,0.7152446508668161,-0.025878095712782274,-0.0031432000216206476,0.6983878105052456,1,0,-1,,,,,,,,0,,,,,,,,-0.40485382260847547,0.7268048605287015,-1.008385762311156,0.7152446508668161,-0.025878095712782274,-0.0031432000216206476,0.6983878105052456,,,,,,,,-0.40485382260847547,0.7268048605287015,-1.008385762311156,0.7152446508668161,-0.025878095712782274,-0.0031432000216206476,0.6983878105052456,head,1,3,0.09929365024904588,0.8726579059990258,-0.20669743319243555,0.005086487169223791,0.13896168606323903,0.13929034158049058,0.9804396861598013,0.024489172862626914,0.9991989714509368,-0.03164957920565313,-0.9988736113269213,0.02316958059993911,-0.04140868422853341,-0.9613275549094785,0.048686029204398386,0.2710701066736657,0.028738053668999876,-0.9611446567813344,0.27454521123488396,0.13270926935730842,-0.5333971118319394,0.7848679718416047,0.016525658823827227,0.9501481048672068,0.31136069343719913,-0.968360221715948,-0.062343558002837786,0.24164387385941433,1.5462924272406195,3.0909913071539954
2,0.5719976425170898,direct,direct,direct,0,0,0,3,0,0,5,1,-0.40461265391395174,0.7325319261207235,-1.2524329956862326,0.7156973610528314,-0.017351214558020814,-0.005898560980975166,0.698170057875392,1,0,-1,,,,,,,,0,,,,,,,,-0.4127804954140892,0.7366819360251075,-1.0026009245203749,0.7156973610528314,-0.017351214558020814,-0.005898560980975166,0.698170057875392,,,,,,,,-0.4127804954140892,0.7366819360251075,-1.0026009245203749,0.7156973610528314,-0.017351214558020814,-0.005898560980975166,0.698170057875392,head,1,3,0.107363793691363,0.87851162637487,-0.18620223177083173,-0.0032675218496263057,0.17324684149016817,0.1511577947289903,0.9732040774202044,0.025047554529250643,0.99956163036937,-0.01578502788817717,-0.9991522415807119,0.024515011279265808,-0.0330728342634118,-0.9399497104292855,0.04601528983260176,0.3381968878708436,0.058735152181065474,-0.9542812887872612,0.2930825886483035,0.14190898283231557,-0.5432269946046314,0.8012108592631568,0.017113229193528028,0.9290957958768736,0.3694430124802601,-0.9570181057594925,-0.0917726473993654,0.2751256557244795,1.545743030393974,3.0926766509037353
3,0.6712167263031006,direct,direct,direct,0,0,0,3,0,0,5,1,-0.40254838941373394,0.6984061182226857,-1.279453902198319,0.714257181110278,-0.029899336417820513,-0.0002688859943613858,0.6992443325580092,1,0,-1,,,,,,,,0,,,,,,,,-0.4130978870586234,0.7089900175922852,-1.029900923507271,0.714257181110278,-0.029899336417820513,-0.0002688859943613858,0.6992443325580092,,,,,,,,-0.4130978870586234,0.7089900175922852,-1.029900923507271,0.714257181110278,-0.029899336417820513,-0.0002688859943613858,0.6992443325580092,head,1,3,0.12913708521489278,0.891457044773049,-0.19779667371225393,0.0008210259018815927,0.22627024442276786,0.19592667943625228,0.954156087173589,0.022114582171653234,0.99889665078605,-0.04142977557006743,-0.9988644927348365,0.02032678613455734,-0.04308766550904356,-0.8976022048106591,0.09023152901397909,0.43147254036710603,0.08709798156594906,-0.9232241244031055,0.37426081511060943,0.159783109860532,-0.5737637218687826,0.8154600008352058,0.052406063899569304,0.8798259434830544,0.4723980457630057,-0.9357848918955226,-0.12189128532073333,0.3308310001540741,1.548660933541295,3.041404151872655
4,0.741008996963501,direct,direct,direct,0,0,0,3,0,0,6,1,-0.385482948143462,0.719159200419546,-1.2751331317757981,0.716045281273852,-0.02978598762643372,-0.006933364729050336,0.6973835949892299,1,0,-1,,,,,,,,0,,,,,,,,-0.39835137925786906,0.7274056509534822,-1.0256007700784722,0.716045281273852,-0.02978598762643372,-0.006933364729050336,0.6973835949892299,,,,,,,,-0.39835137925786906,0.7274056509534822,-1.0256007700784722,0.716045281273852,-0.02978598762643372,-0.006933364729050336,0.6973835949892299,head,1,4,0.10946550078574946,0.8671275080066185,-0.179568599407953,-0.004145800824776804,0.15664406794854296,0.10721682009813432,0.9818095547508681,0.02721609978686395,0.9991294990917243,-0.031615312067280035,-0.9983034306276078,0.025537832762031445,-0.05232666141621179,-0.950890896624107,0.02544898398163788,0.3084782843762329,0.04173053142907746,-0.9769747316471311,0.20923416659251134,0.12667345283567955,-0.5476571790014286,0.8229192338498152,-0.010205348137508369,0.9337859174084865,0.3576866104832334,-0.9816035354202968,-0.07755807538908631,0.1744684618844187,1.543563249109324,3.1148357348635667
5,0.8247077465057373,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3507247932387929,0.7494404088449171,-1.2692684430317331,0.7165631473150809,-0.03000476152081983,-0.025390271818566738,0.6964138886416352,1,1,8,-0.18399138409548366,0.7876432172950216,-0.7418700497184229,-0.48731610634044925,-0.4836093442615044,0.5036055012889555,0.5244297033117418,1,-0.1851928555777154,0.78853366845229,-0.791847680344673,-0.48731610634044925,-0.4836093442615044,0.5036055012889555,0.5244297033117418,-0.37026952610578123,0.7513494930543976,-1.0200409188402042,0.7165631473150809,-0.03000476152081983,-0.025390271818566738,0.6964138886416352,-0.1899987415066423,0.7920954730813634,-0.9917582028496739,-0.48731610634044925,-0.4836093442615044,0.5036055012889555,0.5244297033117418,-0.28013413380621177,0.7717224830678805,-1.005899560844939,0.7165631473150809,-0.03000476152081983,-0.025390271818566738,0.6964138886416352,fused,1,4,0.11718580663974003,0.8759571778362429,-0.1708644470749464,-0.0060910972763506275,0.17768383063445006,0.1339874759048266,0.9749044625837404,0.028726059608030832,0.9995727138596987,-0.00540399912596292,-0.9965253976562382,0.02821481998622977,-0.07836488856126655,-0.9367827097300763,0.03573834011812951,0.3480817803280958,0.05949129178511308,-0.9640205096692473,0.2590853973862356,0.11109106399569757,-0.4584358821357765,0.8021888589160218,0.0069319600245841126,0.9072587232386748,0.4205158225769254,-0.9632997439335458,-0.10678744664061822,0.24627229762509195,1.542065895364118,3.103461060567611
6,0.8970732688903809,direct,direct,direct,0,0,0,3,0,0,7,1,-0.38761294237698973,0.7349999827236975,-1.2621124368574188,0.7162739396499149,-0.021709836658069095,-0.008877895218275159,0.6974249130531281,1,1,8,-0.17713057114944952,0.7878224732843363,-0.7422424695728873,-0.48485814755811735,-0.4861677229801823,0.5061809216770173,0.5218566818667564,1,-0.1778243349447511,0.788691818412008,-0.7922300973506217,-0.48485814755811735,-0.4861677229801823,0.5061809216770173,0.5218566818667564,-0.398362935340712,0.7396792451894629,-1.0123875038730321,0.7162739396499149,-0.021709836658069095,-0.008877895218275159,0.6974249130531281,-0.18059939012595744,0.7921691989226947,-0.9921806084615592,-0.48485814755811735,-0.4861677229801823,0.5061809216770173,0.5218566818667564,-0.2894811627333347,0.7659242220560788,-1.0022840561672957,0.7162739396499149,-0.021709836658069095,-0.008877895218275159,0.6974249130531281,fused,1,4,0.11629331164886733,0.8833481726990725,-0.17166948308819963,-0.0034031494656606076,0.17007682565576637,0.14156664832556717,0.9752031460318602,0.027039347258659415,0.9994800554752393,-0.01756395191971667,-0.998709104855014,0.026254347290232936,-0.04348371106586334,-0.9421245838971447,0.041516888201219744,0.33268245582044015,0.05479193646253522,-0.9598946053111594,0.27495488792385486,0.11374589919892442,-0.43828597700575767,0.8144502133535642,0.0101776492790358,0.9275321308614878,0.37360482019736013,-0.9627432696013815,-0.09187867105025914,0.25432991692539986,1.5437495103807757,3.0975538439426096
7,0.9797799587249756,direct,direct,direct,0,0,0,3,0,0,6,1,-0.3723707904263774,0.7528197009182936,-1.260593317286467,0.716169280092892,-0.02286247152455665,-0.021406913518324053,0.6972235034052113,1,0,-1,,,,,,,,0,,,,,,,,-0.3880064035945185,0.7535436991845675,-1.011083791561763,0.716169280092892,-0.02286247152455665,-0.021406913518324053,0.6972235034052113,,,,,,,,-0.3880064035945185,0.7535436991845675,-1.011083791561763,0.716169280092892,-0.02286247152455665,-0.021406913518324053,0.6972235034052113,head,1,4,0.11515003080461068,0.8758101849642754,-0.1717289413352194,-0.007838320535632173,0.18368999970237224,0.13621599077771943,0.9734689253370996,0.026842260705964557,0.9996389388965914,-0.001218557298848726,-0.9976812790936258,0.026713387390304443,-0.06259760602644851,-0.9323930894810465,0.03478230767429606,0.3597684224064697,0.06530375354737433,-0.9627675291752497,0.2623244261185147,0.13470539431639983,-0.5512652072868965,0.8065935677886269,0.009303812310599218,0.908639641424183,0.41747747377436,-0.9609866682351554,-0.1072919954197048,0.25493734758397485,1.5439508217681115,3.104305604797721
8,1.0559015274047852,direct,direct,direct,0,0,0,3,0,0,7,1,-0.36359147414920656,0.6439194023606482,-1.3262425320820388,0.7130440887923528,-0.054484048255000146,0.0036688006542667556,0.6989893817689862,1,1,8,-0.17495808153400438,0.7882864557447076,-0.7420263224875092,-0.4814702365519503,-0.4844386219703935,0.510627315685245,0.5222694489764038,1,-0.17536704173315684,0.7890310713237766,-0.7920191049585311,-0.4814702365519503,-0.4844386219703935,0.510627315685245,0.5222694489764038,-0.3813253514424824,0.6646263929820805,-1.0777335178882859,0.7130440887923528,-0.054484048255000146,0.0036688006542667556,0.6989893817689862,-0.17700288252976665,0.7920095336400527,-0.9919902348426188,-0.4814702365519503,-0.4844386219703935,0.510627315685245,0.5222694489764038,-0.27916411698612453,0.7283179633110666,-1.0348618763654525,0.7130440887923528,-0.054484048255000146,0.0036688006542667556,0.6989893817689862,fused,1,4,0.1083629039289146,0.866865971532473,-0.20484475776636238,-0.005479046827521723,0.1576954755969758,0.1473223314271545,0.9764211425839636,0.022800768151939495,0.9964207113742234,-0.0813995756510332,-0.9972202758217629,0.016890665319914365,-0.07257015168109117,-0.9502042340442106,0.0357644159137214,0.3095687648306994,0.057163844568120604,-0.9565322214174586,0.28596923656990286,0.07932497743089184,-0.44434410284231163,0.8090531663084879,-0.011227747782832614,0.9257015609206448,0.37808802915301015,-0.9750829114565188,-0.09391424134093418,0.2009811709062183,1.5479176476177638,3.1039717504242557
9,1.1298437118530273,direct,direct,direct,0,0,0,3,0,0,7,1,-0.3978627653411994,0.6971571609102456,-1.277419062916481,0.7149022649831974,-0.02848875584501452,0.0028798884964861622,0.6986378522199789,1,1,8,-0.17826021631728617,0.7875431425648659,-0.7447043083233239,-0.4868530298351278,-0.48496364308866635,0.5047247151089085,0.5225297639185312,1,-0.1792224225319527,0.7883658514947246,-0.7946882788460543,-0.4868530298351278,-0.48496364308866635,0.5047247151089085,0.5225297639185312,-0.40678500753467106,0.7083464985072317,-1.0278290144001556,0.7149022649831974,-0.02848875584501452,0.0028798884964861622,0.6986378522199789,-0.18307124739061886,0.7916566872141593,-0.994624160936976,-0.4868530298351278,-0.48496364308866635,0.5047247151089085,0.5225297639185312,-0.29492812746264496,0.7500015928606956,-1.0112265876685658,0.7149022649831974,-0.02848875584501452,0.0028798884964861622,0.6986378522199789,fused,1,4,0.10806405975559373,0.869673606174897,-0.18190976543369236,-0.0038192902794783436,0.15930777203550714,0.11772703657718234,0.980176918545626,0.023793715375405446,0.9987514770296443,-0.04392432401003465,-0.9990796547905932,0.022187084471716613,-0.03670935393267216,-0.9492128935816878,0.030022503456566468,0.3131988696411268,0.04499682416524785,-0.9722515157610319,0.22956976263310025,0.09268410065103594,-0.4304098069707403,0.8189307302338101,-0.006357330378868247,0.9375080737056469,0.34790544130148476,-0.9800506924204587,-0.0749541957303709,0.18407202076522292,1.5469773728077127,3.1099743534965123
10,1.2022829055786133,direct,direct,direct,0,0,0,3,0,0,6,1,-0.3444316823355719,0.704586921665759,-1.3026609927610908,0.7150765934109924,-0.04414508719916002,-0.016886724266336448,0.6974464247348765,1,0,-1,,,,,,,,0,,,,,,,,-0.365863749585025,0.7144816882183422,-1.0537779678512251,0.7150765934109924,-0.04414508719916002,-0.016886724266336448,0.6974464247348765,,,,,,,,-0.365863749585025,0.7144816882183422,-1.0537779678512251,0.7150765934109924,-0.04414508719916002,-0.016886724266336448,0.6974464247348765,head,1,4,0.1183586181506814,0.8791340641824849,-0.19935490844546713,-0.004998916555738598,0.18661707852182877,0.1738373983669895,0.9669175951270321,0.02656664633618226,0.9989461588026747,-0.03742706394884185,-0.9959642951416919,0.02323939180143391,-0.08668940807049316,-0.9302981536744932,0.055214974093535124,0.36262467084532496,0.07454913559079701,-0.939511139524531,0.334307111937486,0.14536447641507289,-0.552511197359331,0.8156108242045567,0.0168699074980968,0.8963911892449608,0.4429427074295402,-0.9490526571174811,-0.12506283040294952,0.2892375191254612,1.544207921167561,3.0823102867138634
