frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,torso_link_n_tags,torso_link_tags_used,torso_link_pos_x,torso_link_pos_y,torso_link_pos_z,torso_link_quat_w,torso_link_quat_x,torso_link_quat_y,torso_link_quat_z,torso_link_residual_max_pos_m,torso_link_residual_max_rot_deg,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.637871503829956,direct,direct,direct,0,0,0,3,0,0,2,1,-0.7141537114587858,0.8632889575698818,-0.9656177858914137,0.7574202331361289,-0.015890012334918765,-0.07582673729190074,0.6483150498451147,1,0,-1,,,,,,,,0,,,,,,,,1,9,-0.7791787730682602,0.8276497273749305,-0.4913798850085389,-0.042381664659194934,0.9940049511492276,-0.07714901496767737,0.06485353560951285,0.0,0.0,,,,,,,,-0.7480209310470537,0.8447268585100113,-0.7186188791815831,0.7574202331361289,-0.015890012334918765,-0.07582673729190074,0.6483150498451147,,,,,,,,-0.7480209310470537,0.8447268585100113,-0.7186188791815831,0.7574202331361289,-0.015890012334918765,-0.07582673729190074,0.6483150498451147,head,0,0,,,,,,,,0.1478758041119832,0.9845036479804653,0.0942619417972622,-0.9796840968169259,0.15887020730464554,-0.12239006362848236,,,,,,,,,,,,,,,,1.4217074521043638,
2,0.8127844333648682,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7130669292754963,0.8440603916375432,-1.0080055160887864,0.7496483396132524,-0.22739708760918423,0.017890116470929356,0.6212872726803692,1,1,8,-1.0934378904409097,0.2481811847377643,-0.08027940506771603,0.7663979918805726,-0.1858656017631036,-0.3767183818852465,-0.4859746463267676,1,-1.165459422402343,0.27082608750621784,-0.03904704747643168,0.4215036646010776,0.7216127091647414,-0.14108031904727258,-0.5307599290425988,3,9|12|pelvis_fk,-0.9786968392617716,0.5769036248629037,-0.35868480284910903,0.29144837328376844,0.9185680315225327,-0.1259926958171689,-0.23540700451725505,0.6575422601236477,46.853366273448394,-1.1376847886203127,0.22525292261688304,-0.08434226091277182,0.7663979918805726,-0.1858656017631036,-0.3767183818852465,-0.4859746463267676,-0.7770007394096209,0.9348517670521792,-0.7840202619490276,0.7496483396132524,-0.22739708760918423,0.017890116470929356,0.6212872726803692,-1.3146723813379249,0.133539874133358,-0.10059368429299499,0.7663979918805726,-0.1858656017631036,-0.3767183818852465,-0.4859746463267676,-1.045836560373773,0.5341958205927686,-0.4423069731210113,0.7496483396132524,-0.22739708760918423,0.017890116470929356,0.6212872726803692,fused,0,0,,,,,,,,0.2273641370760899,0.9233576240104122,-0.30938042496817786,-0.9396302655403262,0.12458537870449907,-0.3187058949779128,,,,,,,,,,,,,,,,1.3293631228822886,
3,1.0546412467956543,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7108600578468827,0.8413180416132949,-1.0136550603816237,0.7532527575472113,-0.21031408103350788,0.0304299250539123,0.6224566573085764,1,1,8,-1.0925836415264056,0.24946031515427614,-0.07535414913019034,0.7670583712155823,-0.1821198568319944,-0.37646081823056254,-0.48655016723126016,1,-1.1647829549739095,0.2716510947767161,-0.034185855050189895,0.41954443952343956,0.7239747499227053,-0.13903623553911726,-0.5296337885241373,3,9|12|pelvis_fk,-0.9713393779403473,0.5750513936895104,-0.35604904508551155,0.28821485057333684,0.9181157684444976,-0.12508733050862691,-0.2415549531447955,0.65511898078185,45.25497462806635,-1.1367609784374142,0.22645018590280347,-0.0797012004620436,0.7670583712155823,-0.1821198568319944,-0.37646081823056254,-0.48655016723126016,-0.7648550452999966,0.9299985270736479,-0.7862340568915015,0.7532527575472113,-0.21031408103350788,0.0304299250539123,0.6224566573085764,-1.3134703260814482,0.1344096688969128,-0.09708940578945664,0.7670583712155823,-0.1821198568319944,-0.37646081823056254,-0.48655016723126016,-1.0391626856907223,0.5322040979852803,-0.4416617313404791,0.7532527575472113,-0.21031408103350788,0.0304299250539123,0.6224566573085764,fused,0,0,,,,,,,,0.22324345886689279,0.9249347036953448,-0.30766564964771337,-0.9505340705898726,0.1366313941825289,-0.27895670411657736,,,,,,,,,,,,,,,,1.3339645679598389,
4,1.2525851726531982,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7172571632782018,0.8262040074320972,-1.0313684627085438,0.7510207673838394,-0.21397695771299893,0.030480651751475622,0.6239011126732216,1,1,8,-1.0926425902248584,0.2504423678194041,-0.07698212760039014,0.7664256215427369,-0.18229961874723283,-0.3780390608675029,-0.486256191843209,1,-1.1649553788307563,0.2727062019090361,-0.03605313670557224,0.4202540546571316,0.724210627753108,-0.14008462495760401,-0.5284711856328379,3,9|12|pelvis_fk,-0.9740836699879367,0.5715657896511877,-0.36298270211511524,0.2894453881691783,0.9181434948675846,-0.12476216162338419,-0.24014223520029082,0.6510642472281345,45.34509520492604,-1.1368021482978727,0.22741019132952872,-0.08139260115039645,0.7664256215427369,-0.18229961874723283,-0.3780390608675029,-0.486256191843209,-0.7725615930456108,0.9160630331955104,-0.8047260669901963,0.7510207673838394,-0.21397695771299893,0.030480651751475622,0.6239011126732216,-1.3134403805899302,0.13528148537002715,-0.09903449535042173,0.7664256215427369,-0.18229961874723283,-0.3780390608675029,-0.486256191843209,-1.0430009868177705,0.5256722592827687,-0.45188028117030904,0.7510207673838394,-0.21397695771299893,0.030480651751475622,0.6239011126732216,fused,0,0,,,,,,,,0.21963666294784245,0.9240810705611678,-0.31278412894464724,-0.9501696990847278,0.129922526346011,-0.2833684528826503,,,,,,,,,,,,,,,,1.3374450438603436,
5,1.4360082149505615,direct,direct,direct,0,0,0,3,0,0,5,1,-0.701920119507515,0.84131297946892,-1.0248774893554684,0.753863146419761,-0.20975124446752025,0.025309440127002314,0.6221368050154903,1,1,8,-1.094154963221025,0.24973606759495837,-0.08062480409250572,0.7661941534921108,-0.184610124867415,-0.3757564853380043,-0.48751685578795656,1,-1.1661513272934863,0.27236030049024124,-0.039337183111809795,0.4195219539547868,0.7224286848753284,-0.14084465625063256,-0.5312823244047391,3,9|12|pelvis_fk,-0.9695927099131898,0.5747272285499759,-0.3617773821438163,0.28682068128441607,0.9183836029621796,-0.12665102964894492,-0.2413813814000804,0.6503449431303453,45.69042366462197,-1.1384450648521829,0.22691142588305213,-0.08479884628501126,0.7661941534921108,-0.184610124867415,-0.3757564853380043,-0.48751685578795656,-0.7576271769639058,0.9282478131374647,-0.7971955655130762,0.753863146419761,-0.20975124446752025,0.025309440127002314,0.6221368050154903,-1.3156054713768146,0.13561285903542725,-0.10149501505503342,0.7661941534921108,-0.184610124867415,-0.3757564853380043,-0.48751685578795656,-1.0366163241703603,0.531930336086446,-0.44934529028405484,0.753863146419761,-0.20975124446752025,0.025309440127002314,0.6221368050154903,fused,0,0,,,,,,,,0.2246104561711511,0.9273946455381997,-0.29914764649862136,-0.94862939179186,0.13790042257888876,-0.2847555978048026,,,,,,,,,,,,,,,,1.3331768164444886,
6,1.6231403350830078,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7141944253346799,0.845448682264618,-1.0068754817820815,0.7583850256192909,-0.03423978338694333,-0.0628473876727839,0.6478657237520361,1,1,8,-1.093114905710909,0.25003306504375167,-0.08086699234022832,0.7654268746412579,-0.18424865931207046,-0.3759491028664929,-0.48870891456213456,1,-1.165129273070553,0.27277765968935125,-0.03967701409068779,0.41845786112884353,0.7229181163789073,-0.14173990104971995,-0.5312176728244851,3,9|12|pelvis_fk,-0.9599937745474363,0.5158192966320638,-0.3434278408814318,0.2203840631761668,0.9307419670587742,-0.122217108007866,-0.2649777990015782,0.6699176999475838,48.32073474019267,-1.1374488112364434,0.22731146220683118,-0.08513707259406951,0.7654268746412579,-0.18424865931207046,-0.3759491028664929,-0.48870891456213456,-0.7491170752123922,0.8380738176148945,-0.7594365602339205,0.7583850256192909,-0.03423978338694333,-0.0628473876727839,0.6478657237520361,-1.3147844333385805,0.1364250508591492,-0.1022173936094343,0.7654268746412579,-0.18424865931207046,-0.3759491028664929,-0.48870891456213456,-1.0319507542754864,0.48724943423702183,-0.4308269769216774,0.7583850256192909,-0.03423978338694333,-0.0628473876727839,0.6478657237520361,fused,0,0,,,,,,,,0.15264041969991463,0.9869670888917996,0.05095947133046953,-0.9783595651303938,0.15819528244173134,-0.13336721460331788,,,,,,,,,,,,,,,,1.4173559362469337,
7,1.8087310791015625,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7073257853542771,0.8197248470113601,-1.0441407149630555,0.7578994603226952,-0.028110192271485732,-0.05580486178090323,0.6493720370747742,1,1,8,-1.0933756301581818,0.24823204616852368,-0.08338638253086628,0.765532349361476,-0.18300003486307437,-0.37837835811134185,-0.4871355329209501,1,-1.1656638638776968,0.2707290087524099,-0.042541579431671354,0.41988760470747094,0.7240231027653468,-0.14149078826694528,-0.5286447795170793,3,9|12|pelvis_fk,-0.9547042871691122,0.5058951315440612,-0.35712541766180717,0.2212304968458075,0.9302101845784826,-0.12152431034342613,-0.2664543521269212,0.6597831629172397,47.63769630348167,-1.1375917563282056,0.22531105018793013,-0.08780929218110241,0.765532349361476,-0.18300003486307437,-0.37837835811134185,-0.4871355329209501,-0.7376000090767909,0.8122581384007526,-0.7960928977170183,0.7578994603226952,-0.028110192271485732,-0.05580486178090323,0.6493720370747742,-1.3144562610083006,0.13362706626555598,-0.10550093078204692,0.765532349361476,-0.18300003486307437,-0.37837835811134185,-0.4871355329209501,-1.0260281350425458,0.47294260233315427,-0.4507969142495326,0.7578994603226952,-0.028110192271485732,-0.05580486178090323,0.6493720370747742,fused,0,0,,,,,,,,0.15040354973394532,0.9874548036839308,0.04808100361846178,-0.9811800621065514,0.15505154911163668,-0.11508563265093513,,,,,,,,,,,,,,,,1.4196437152440264,
8,1.9881529808044434,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7143592613448786,0.8339322346343511,-1.025796800065463,0.751095665510802,-0.2205587215479405,0.02583390573617608,0.6217248273267186,1,1,8,-1.0920994664495673,0.250748190227685,-0.0756596236869509,0.7657283170286112,-0.1850698610566686,-0.37654512897051456,-0.4874659545830607,1,-1.1641310720177762,0.2734728442193557,-0.034488785703921936,0.4199386762363667,0.7223347697627589,-0.14167631379081647,-0.5308595018489131,3,9|12|pelvis_fk,-0.9748027590612712,0.5753469036369618,-0.36070504787382257,0.29005324699778884,0.9179972692521668,-0.12650030655690875,-0.23905606035533306,0.6518926568753154,46.05444722830725,-1.1363948304207445,0.22793558126259594,-0.07984359343670809,0.7657283170286112,-0.1850698610566686,-0.37654512897051456,-0.4874659545830607,-0.7732208105689479,0.9247933747984814,-0.8004535702336867,0.751095665510802,-0.2205587215479405,0.02583390573617608,0.6217248273267186,-1.313576286305453,0.13668514540223964,-0.09657947243573685,0.7657283170286112,-0.1850698610566686,-0.37654512897051456,-0.4874659545830607,-1.0433985484372004,0.5307392601003605,-0.44851652133471176,0.751095665510802,-0.2205587215479405,0.02583390573617608,0.6217248273267186,fused,0,0,,,,,,,,0.2255816967999529,0.9225538594475783,-0.3130611353829032,-0.9453454323346222,0.1296241788694004,-0.2991982383245265,,,,,,,,,,,,,,,,1.3309831233823184,
9,2.156975030899048,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7055433131671995,0.8489213594476873,-1.0177817448468711,0.7516756612086493,-0.22407111319219689,0.017954848381158555,0.6200431114035211,1,1,8,-1.0932799593016658,0.24917049530313706,-0.08116161377115527,0.7662654552135297,-0.18286786599532415,-0.3778509431620986,-0.4864414255429224,1,-1.165545111639729,0.2715269621950765,-0.04019899488922678,0.4202714194140152,0.7238449789616135,-0.1404473897434076,-0.5288619017948388,3,9|12|pelvis_fk,-0.9749613470926686,0.5783909665693614,-0.36216995882144265,0.2895669305357025,0.9192043122912726,-0.1266479645959741,-0.23489299280514345,0.6542104820396809,46.52846996572847,-1.1374639649035396,0.2261770869929285,-0.08552931605652278,0.7662654552135297,-0.18286786599532415,-0.3778509431620986,-0.4864414255429224,-0.7682620770024654,0.9387021505584547,-0.7930468650206615,0.7516756612086493,-0.22407111319219689,0.017954848381158555,0.6200431114035211,-1.3141999873110355,0.1342034537520942,-0.10300012519799284,0.7662654552135297,-0.18286786599532415,-0.3778509431620986,-0.4864414255429224,-1.0412310321567504,0.5364528021552745,-0.44802349510932715,0.7516756612086493,-0.22407111319219689,0.017954848381158555,0.6200431114035211,fused,0,0,,,,,,,,0.23044832684130043,0.9240963057562936,-0.30485994545629713,-0.9401889572121461,0.13067735246770126,-0.3145920442229412,,,,,,,,,,,,,,,,1.3264041408124803,
10,2.322145938873291,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7012288170813823,0.8552038391041441,-1.0094118469316764,0.7550145414081678,-0.2084043894347896,0.021114015690711748,0.6213492182886682,1,1,8,-1.0926566835081801,0.25011967339685215,-0.07725537343593403,0.7675791538619232,-0.17918055753396386,-0.3763567130281706,-0.4869006006538326,1,-1.165003401656527,0.2719471599607291,-0.03615168499478022,0.4181079118851127,0.7258279550049815,-0.1374293586770218,-0.5286517995107745,3,9|12|pelvis_fk,-0.9697833680803476,0.577665172530031,-0.35468219475750523,0.28462669770799837,0.9198427272557608,-0.12487079289755999,-0.23934135695207112,0.6528050510835325,45.700585558201915,-1.136773739181857,0.22703746010837664,-0.0818266783252431,0.7675791538619232,-0.17918055753396386,-0.3763567130281706,-0.4869006006538326,-0.7580040748759954,0.9404375999346017,-0.7813509425288139,0.7550145414081678,-0.2084043894347896,0.021114015690711748,0.6213492182886682,-1.3132419618765647,0.13470860695447456,-0.10011189788247937,0.7675791538619232,-0.17918055753396386,-0.3763567130281706,-0.4869006006538326,-1.03562301837628,0.5375731034445381,-0.4407314202056466,0.7550145414081678,-0.2084043894347896,0.021114015690711748,0.6213492182886682,fused,0,0,,,,,,,,0.2269586945469465,0.929454883104006,-0.2908665866744827,-0.9470558972981634,0.14098551879274707,-0.28845833474439697,,,,,,,,,,,,,,,,1.331298298370826,
11,2.503835678100586,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7111220281808848,0.8418256723697852,-1.011468769751131,0.7583009122080802,-0.03547977048084036,-0.06348381728944681,0.6478354091691659,1,1,8,-1.092728332346979,0.24875823391782237,-0.08224366008861006,0.7646927418638517,-0.18248932995771805,-0.3814101146280684,-0.48628076195931447,1,-1.1652830663177238,0.27123826083235997,-0.04186471794847812,0.4211557122451619,0.7249471442467582,-0.14274373234062473,-0.526026359576408,3,9|12|pelvis_fk,-0.9596542045131877,0.5139707696513127,-0.3462216723354239,0.2219237791703627,0.9312637947659913,-0.12263075356185808,-0.26164724167787556,0.6669801814305519,48.20406243448788,-1.1368741968905673,0.2257353674178372,-0.08683607359601626,0.7646927418638517,-0.18248932995771805,-0.3814101146280684,-0.48628076195931447,-0.7466844722747458,0.8347143111553978,-0.7641132743366376,0.7583009122080802,-0.03547977048084036,-0.06348381728944681,0.6478354091691659,-1.3134576550649208,0.1336439014178965,-0.1052057276256411,0.7646927418638517,-0.18248932995771805,-0.3814101146280684,-0.48628076195931447,-1.0300710636698334,0.4841791062866472,-0.4346595009811393,0.7583009122080802,-0.03547977048084036,-0.06348381728944681,0.6478354091691659,fused,0,0,,,,,,,,0.15255817513795883,0.9870131460007014,0.05030956986871058,-0.9780035809339921,0.15810093702649275,-0.13606281413976778,,,,,,,,,,,,,,,,1.417444365829356,
