frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,torso_link_n_tags,torso_link_tags_used,torso_link_pos_x,torso_link_pos_y,torso_link_pos_z,torso_link_quat_w,torso_link_quat_x,torso_link_quat_y,torso_link_quat_z,torso_link_residual_max_pos_m,torso_link_residual_max_rot_deg,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.6573665142059326,none,direct,none,0,0,0,1,0,0,0,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8015515804290771,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.3876536949703275,0.9748425955870804,-0.879392125679026,0.031885338239857994,0.9945183778447407,-0.0984847851796536,-0.014740027900685848,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.0121898651123047,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.3916272900347288,0.9731267005444013,-0.8804682946477072,0.0327422388074955,0.994738151118842,-0.09577686217628509,-0.01583506167356402,0.0,1.2074182697257333e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.1754145622253418,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.39013636919772465,0.9744656211574737,-0.8802468756151011,0.03150266869299346,0.9945752102564525,-0.09800160410553341,-0.014947193759873233,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.3450195789337158,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.3932219253019348,0.9718501212712397,-0.8865943218991424,0.03389661583527629,0.9945837886130454,-0.09723664681801863,-0.014111746122459997,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.5217411518096924,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.38990184283596424,0.9746969997311444,-0.8790112019637625,0.03172398388780115,0.9945268359248516,-0.09839857871769181,-0.015089107923533816,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.6870474815368652,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.3913849882407379,0.9744171917731124,-0.8766330207331469,0.031229344796952246,0.9946526801566976,-0.09713299248094438,-0.01599861407585374,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.856633186340332,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.390109773190587,0.9739366033384954,-0.8801596890700804,0.03217332876277557,0.9945527909105826,-0.09793597546178859,-0.015432683455620991,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2.017789840698242,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.3897212283409609,0.9736086849997057,-0.8812773030253733,0.03241983631262413,0.9944878758853651,-0.09856612193936255,-0.015084380541212288,0.0,1.7075472925031877e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.1816771030426025,none,direct,none,0,0,0,1,0,0,2,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,1,12,-0.38777412861281635,0.9739713617399056,-0.8738413877172818,0.0312559196598537,0.9945994247943778,-0.09770746309844672,-0.015757643852286625,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
