frame_idx,origin_source,mode,used_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,obj_euler_x_deg,obj_euler_y_deg,obj_euler_z_deg,filter_mode,quat_order,apply_x_map
18,1,primary,0,-1.1974556928107367,0.3179158407391335,-0.21629372908303288,0.012420832315676011,0.7054608133407535,0.7079584425995672,0.031074222712463535,176.47152682974306,-1.504555339504116,90.24883777528439,ema,wxyz,-X
19,1,primary,0,-1.187637466347379,0.31514498236987193,-0.22315929688215708,0.014612845061281424,0.7052160416815113,0.7071408110884398,0.04907822946541051,174.82907705655043,-2.783081187143373,90.28186205021866,ema,wxyz,-X
20,1,primary,0,-1.1794938852134922,0.31325665044493267,-0.2324002491344873,0.017847427830670105,0.7046874902449952,0.7065195319298763,0.06266706801524705,173.45798370547652,-3.6178983424898603,90.35560222197837,ema,wxyz,-X
21,1,primary,0,-1.1747596207771849,0.31198055555741644,-0.23349362224433928,0.01788898604133796,0.7044462496656646,0.7058173529055863,0.07250744684337025,172.6496300248004,-4.41054241895218,90.39484775949137,ema,wxyz,-X
22,1,primary,0,-1.1698474858094863,0.30978306102535486,-0.2407321633142527,0.019174871795819892,0.7042337243903306,0.7050313931766172,0.08135060146290325,171.8211935502607,-5.02221012701576,90.4241526101134,ema,wxyz,-X
23,1,primary,0,-1.1676075197409153,0.311754630516683,-0.2390189548764694,0.02065352146375982,0.7038355820425559,0.704977858339692,0.08482408120777853,171.41472557659634,-5.17993769594883,90.48198727449444,ema,wxyz,-X
24,1,primary,0,-1.164904914532352,0.30867601093785757,-0.24307262020530426,0.019792305029567858,0.703751321075364,0.7043295817236884,0.0908965513934982,170.98539239799445,-5.742425411814852,90.50011182758111,ema,wxyz,-X
25,1,primary,0,-1.1636841182184026,0.3084165494028055,-0.24245230544347626,0.019771377115168,0.7035613861770615,0.7041513115870457,0.09370911864821263,170.75461578817482,-5.970485871147864,90.53120983579352,ema,wxyz,-X
26,1,primary,0,-1.1714290513797891,0.3102413804815956,-0.23990707750285392,0.0208862874546884,0.7045592940270309,0.7051131036426653,0.07730119836005042,172.01680158619513,-4.558226448962531,90.3632565991994,ema,wxyz,-X
27,1,primary,0,-1.1781795029916107,0.31286967801721627,-0.2322710982025867,0.019100356122829495,0.7048783176154195,0.7061562500515459,0.06422681889036395,173.23060245746987,-3.6446649406473504,90.31941087439142,ema,wxyz,-X
28,1,primary,0,-1.1827102300374617,0.31402117238010346,-0.22982420083502944,0.01790953079010345,0.7050873806602944,0.7066692985696125,0.05612073413289921,173.9886774260393,-3.0855977103874617,90.2904575091858,ema,wxyz,-X
29,1,primary,0,-1.186056145331086,0.31557505497221794,-0.22794895768542114,0.018137911623149282,0.7051363773452735,0.7071123221777754,0.04945573101966225,174.51334455537233,-2.527276177453561,90.28144882332059,ema,wxyz,-X
