frame_idx,t_sec,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_margin,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_margin_max,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
1,0.5015575885772705,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.1965058164189116,0.07274940772639038,1.6527843290089366,-0.4971234815337404,0.2020917101053236,0.3235823339132908,0.7793084485578906
2,0.6156980991363525,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.1965011759897594,0.07264205057828979,1.6533538702412773,-0.49780803430587184,0.20201159517904732,0.3234428310190444,0.7789500699378148
3,0.7286090850830078,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19693175153565062,0.07268299603361664,1.6568115305702158,-0.497143484999784,0.20187636405692322,0.3240833861600043,0.7791432780769477
4,0.8050057888031006,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19700964533315352,0.0726839703400352,1.6578675653094384,-0.49738758199747096,0.20178536042137862,0.32412577490860456,0.7789934169389496
5,0.8774569034576416,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19765270165391363,0.07252817018430521,1.6610560110470562,-0.4974300234947662,0.20212461362711695,0.32297858000978324,0.7793547646270915
6,0.951068639755249,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19702720417598846,0.0726235909691855,1.6569342505563422,-0.497101196181605,0.20206707055015366,0.32434913140596455,0.7790102314541788
7,1.0297791957855225,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19740213536195522,0.07255421332105715,1.6593678484476668,-0.49726605004675595,0.20201081063234377,0.3236077526812765,0.7792279064966388
8,1.1077513694763184,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19723120879237183,0.07249814459952704,1.6571161100136576,-0.4972700090575334,0.2020444217689529,0.32341674886063493,0.7792959619299891
9,1.1840980052947998,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19750933513610772,0.07239685954089958,1.658767230649635,-0.49785707948972024,0.20265431863864067,0.32262978646955626,0.7790889399944549
10,1.2619295120239258,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.19768486832615992,0.07225325709216165,1.659327675724913,-0.49745501412015414,0.2021899011387017,0.3224894560503194,0.7795244085598658
