frame_idx,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,obj_pos_x,obj_pos_y,obj_pos_z
0,-1.1321003437042236,0.6697758436203003,0.798166811466217,-0.7028880715370178,-0.05232970789074898,-0.05141504108905792,0.7075071930885315,-1.1993372440338135,0.31650635600090027,0.18340031802654266
1,-1.1313645839691162,0.6663115620613098,0.7978508472442627,-0.7042170763015747,-0.053221043199300766,-0.049140118062496185,0.7062798142433167,-1.1993389129638672,0.3165159821510315,0.18340358138084412
2,-1.1307865381240845,0.6633690595626831,0.7974120378494263,-0.7056227326393127,-0.0542340949177742,-0.047993049025535583,0.7048772573471069,-1.199342966079712,0.31652528047561646,0.18340717256069183
3,-1.1305241584777832,0.6614702939987183,0.79672771692276,-0.7071887254714966,-0.055491138249635696,-0.049102187156677246,0.7031314969062805,-1.19935142993927,0.3165339529514313,0.1834114044904709
4,-1.130793809890747,0.6607972383499146,0.7959214448928833,-0.7081318497657776,-0.05711037665605545,-0.051619239151477814,0.7018712162971497,-1.1993463039398193,0.3165149688720703,0.1834195852279663
5,-1.1313296556472778,0.6607370972633362,0.7950540781021118,-0.7087565660476685,-0.05891014635562897,-0.05483973026275635,0.7008468508720398,-1.1993341445922852,0.31648215651512146,0.1834297478199005
6,-1.1316255331039429,0.6605861186981201,0.7946312427520752,-0.7087127566337585,-0.06519670784473419,-0.05843977630138397,0.7000432014465332,-1.1993545293807983,0.3165236711502075,0.18341797590255737
7,-1.1317671537399292,0.6607174873352051,0.7940832376480103,-0.7084334492683411,-0.07228995859622955,-0.06350481510162354,0.6991877555847168,-1.1993592977523804,0.3165467381477356,0.18341225385665894
8,-1.1316003799438477,0.661413311958313,0.7932851314544678,-0.7076789736747742,-0.08099531382322311,-0.07149883359670639,0.6982250809669495,-1.199332594871521,0.31653276085853577,0.1834186464548111
9,-1.1320061683654785,0.6607683897018433,0.7925187349319458,-0.7067514657974243,-0.09247175604104996,-0.08293174207210541,0.6964724063873291,-1.1993306875228882,0.31651753187179565,0.18340849876403809
