frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,torso_link_n_tags,torso_link_tags_used,torso_link_pos_x,torso_link_pos_y,torso_link_pos_z,torso_link_quat_w,torso_link_quat_x,torso_link_quat_y,torso_link_quat_z,torso_link_residual_max_pos_m,torso_link_residual_max_rot_deg,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.588066577911377,direct,direct,direct,0,0,0,3,0,0,2,1,-0.7053863400082699,0.8335546183630069,-1.0154329145312937,0.7527900303269165,-0.2105179689358028,0.02310068705009166,0.6232621545171488,1,0,-1,,,,,,,,0,,,,,,,,1,9,-0.8146515393476218,0.9995132860761687,-0.5784903132388539,0.1651933358593131,0.9730158311698032,-0.09159003933777524,0.13252403093293705,0.0,1.7075472925031877e-06,,,,,,,,-0.7622952979975157,0.919991424463612,-0.7878586430248147,0.7527900303269165,-0.2105179689358028,0.02310068705009166,0.6232621545171488,,,,,,,,-0.7622952979975157,0.919991424463612,-0.7878586430248147,0.7527900303269165,-0.2105179689358028,0.02310068705009166,0.6232621545171488,head,0,0,,,,,,,,0.22202129000890983,0.9286448529635535,-0.2971956995770274,-0.9480972918387809,0.13445294300357144,-0.2881560884757546,,,,,,,,,,,,,,,,1.3361205266876748,
2,0.7033934593200684,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7100702270763646,0.8138148140113606,-1.0467871850016437,0.7476546254909356,-0.2308703175799211,0.022039152675263664,0.6222746445034631,1,1,8,-1.0908464670563451,0.25122455206296923,-0.0746397808775332,0.7638367446750071,-0.19327830183612912,-0.3775672286329296,-0.4864564866317227,1,-1.1625143097343642,0.2750066270934853,-0.033431368713005324,0.42411289425617144,0.7172910790517651,-0.14673263621288724,-0.5330021522549646,3,9|12|pelvis_fk,-0.9754871649674794,0.5716028928748221,-0.3684245258503256,0.294447170032568,0.9168907373023057,-0.12850724515693987,-0.23685043350439608,0.6482433389874265,46.94395954004521,-1.1353013562517413,0.22862419359764294,-0.07824347673925611,0.7638367446750071,-0.19327830183612912,-0.3775672286329296,-0.4864564866317227,-0.7736637622558072,0.9069776473730338,-0.8236805988966923,0.7476546254909356,-0.2308703175799211,0.022039152675263664,0.6222746445034631,-1.3131209130333263,0.1382227597363378,-0.09265826018614771,0.7638367446750071,-0.19327830183612912,-0.3775672286329296,-0.4864564866317227,-1.0433923376445668,0.5226002035546857,-0.45816942954142004,0.7476546254909356,-0.2308703175799211,0.022039152675263664,0.6222746445034631,fused,0,0,,,,,,,,0.22457708511488939,0.9203166602228221,-0.3202848384760178,-0.9406694049321448,0.11894632653726941,-0.31779370986206396,,,,,,,,,,,,,,,,1.331452319939508,
3,0.8554677963256836,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7088924510114145,0.8225506747093465,-1.0447751840119446,0.7448591826059116,-0.24979312928990224,0.015598061681792829,0.6185021350965432,1,1,8,-1.0927076033566894,0.2528729463207684,-0.07691243179108986,0.764020528164903,-0.19027034875069365,-0.3780896931212839,-0.4869476469646052,1,-1.1645756513548,0.27633227539608063,-0.03586802222928122,0.4227164615361376,0.7193937597500492,-0.1456435803358399,-0.5315744153794588,3,9|12|pelvis_fk,-0.9811871902300147,0.5781992268409131,-0.3720063652090054,0.2974664669748757,0.9176475290275854,-0.12853151408926697,-0.23003556981687118,0.6482333960690387,47.91039060067249,-1.1371053289758677,0.23020502797057601,-0.08078637519712523,0.764020528164903,-0.19027034875069365,-0.3780896931212839,-0.4869476469646052,-0.7803320631732718,0.9204047449878494,-0.8260951374962799,0.7448591826059116,-0.24979312928990224,0.015598061681792829,0.6185021350965432,-1.3146962314525812,0.13953335456980653,-0.09628214882126668,0.764020528164903,-0.19027034875069365,-0.3780896931212839,-0.4869476469646052,-1.0475141473129264,0.529969049778828,-0.4611886431587733,0.7448591826059116,-0.24979312928990224,0.015598061681792829,0.6185021350965432,fused,0,0,,,,,,,,0.23442361870557654,0.9136014122993406,-0.3322318865455763,-0.9291865668527478,0.1101170028811511,-0.35282654329978574,,,,,,,,,,,,,,,,1.3196222890165834,
4,0.9963181018829346,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7072376889687583,0.8071067920004182,-1.0614663690395554,0.7454684846005146,-0.24100086737630338,0.021821976365196488,0.6210628967655359,1,1,8,-1.0909973104708302,0.25465283083665624,-0.07216173217286559,0.7644632576022231,-0.19172119260640655,-0.375789533176197,-0.48746398722058437,1,-1.1626016389023188,0.27825532032067263,-0.03074020829900996,0.4222549980821214,0.7179977926962989,-0.14525572770048212,-0.5339294521265086,3,9|12|pelvis_fk,-0.9764482848990528,0.573573880230332,-0.3726444955022472,0.2959318013314919,0.9169438119315287,-0.12784409842894165,-0.23514740317100438,0.6420636059208775,47.35303862982098,-1.1354668229812264,0.2320906462897975,-0.075823737847521,0.7644632576022231,-0.19172119260640655,-0.375789533176197,-0.48746398722058437,-0.7739422395506494,0.9037124776228884,-0.8407451774038622,0.7454684846005146,-0.24100086737630338,0.021821976365196488,0.6210628967655359,-1.3133448730228112,0.14184190810236252,-0.09047176054614263,0.7644632576022231,-0.19172119260640655,-0.375789533176197,-0.48746398722058437,-1.0436435562867303,0.5227771928626255,-0.4656084689750024,0.7454684846005146,-0.24100086737630338,0.021821976365196488,0.6210628967655359,fused,0,0,,,,,,,,0.22760935921743605,0.9154474025230641,-0.33188858493536993,-0.9364838634505749,0.11239892037014158,-0.33221146307180893,,,,,,,,,,,,,,,,1.3271057708851048,
5,1.0898473262786865,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7055909272851876,0.8244958647576999,-1.0406480700788647,0.7460697990114268,-0.24754097213787132,0.01949215714802993,0.6178376630845706,1,1,8,-1.0919830284143086,0.25104916807228683,-0.08056679576663761,0.7628556336501486,-0.1893497345725982,-0.3814190417397802,-0.48653620093866046,1,-1.1641587790289158,0.2745091434125052,-0.040066294778941414,0.42354410451193314,0.7207305708779957,-0.14722467180044524,-0.5286612637108137,3,9|12|pelvis_fk,-0.9785723467191523,0.5781525296983224,-0.37252984571477044,0.2978917764979508,0.9174703476830044,-0.12939246272421626,-0.22970903597265,0.6456209131436544,47.36842780401639,-1.1363208760318246,0.22830624775294064,-0.08467956174512464,0.7628556336501486,-0.1893497345725982,-0.3814190417397802,-0.48653620093866046,-0.7747897402739953,0.9228587808331052,-0.8214763086174877,0.7460697990114268,-0.24754097213787132,0.01949215714802993,0.6178376630845706,-1.3136722665018887,0.13733456647555592,-0.10113062565907274,0.7628556336501486,-0.1893497345725982,-0.3814190417397802,-0.48653620093866046,-1.044231003387942,0.5300966736543306,-0.4613034671382802,0.7460697990114268,-0.24754097213787132,0.01949215714802993,0.6178376630845706,fused,0,0,,,,,,,,0.2357933557678263,0.9122498271794155,-0.33496529101815,-0.9315502572973653,0.11400017837446844,-0.3452797090183577,,,,,,,,,,,,,,,,1.3178576654294447,
6,1.1935911178588867,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7130024018680476,0.8004208761832696,-1.0636497948780623,0.7459138861578734,-0.2333367509942437,0.027161601156506034,0.6232404692371352,1,1,8,-1.0917194331979148,0.253993247067422,-0.07416918527011251,0.7637834811294557,-0.19203253599153955,-0.3776765022006969,-0.4869484148858844,1,-1.1634578052350841,0.2776740078395852,-0.033025199722911715,0.42327205221790376,0.7181879311122488,-0.14643698597433272,-0.5325439649030915,3,9|12|pelvis_fk,-0.9761982121769115,0.5701444530132392,-0.374285000107095,0.2957972527741111,0.9164533610392073,-0.12788980481567225,-0.23719489900804888,0.6446177797554777,46.656002667569425,-1.1361643663933174,0.2313927724313437,-0.07789295479576643,0.7637834811294557,-0.19203253599153955,-0.3776765022006969,-0.4869484148858844,-0.7755847472215484,0.8959095420670602,-0.8412416908490297,0.7459138861578734,-0.2333367509942437,0.027161601156506034,0.6232404692371352,-1.3139440991749276,0.14099087388703063,-0.09278803289838207,0.7637834811294557,-0.19203253599153955,-0.3776765022006969,-0.4869484148858844,-1.044764423198238,0.5184502079770454,-0.4670148618737059,0.7459138861578734,-0.2333367509942437,0.027161601156506034,0.6232404692371352,fused,0,0,,,,,,,,0.2216671298553809,0.9170918413077347,-0.3313702433056811,-0.9424430403703773,0.11425055628105202,-0.3142418273351112,,,,,,,,,,,,,,,,1.3336383402357461,
7,1.2968239784240723,direct,direct,direct,0,0,0,3,0,0,5,1,-0.713181730757636,0.814234141988826,-1.0505710239469719,0.7455598918916676,-0.24209916671739923,0.02606263498808708,0.6203621362838836,1,1,8,-1.0917514051931458,0.24992014095708415,-0.07946719629532106,0.7629937189640652,-0.19090351624432936,-0.3821931657597376,-0.48510289254289757,1,-1.1639210922991587,0.2734456050098631,-0.03899388652058678,0.42549375421261737,0.7196931305111856,-0.14760292779144976,-0.5284034809957772,3,9|12|pelvis_fk,-0.9786503167127323,0.5738183104358316,-0.3753057682053597,0.29925988476255294,0.9163919711744498,-0.12904766865121725,-0.23241337258125974,0.647202327493735,46.7967945030962,-1.1360606531221076,0.22709703784387764,-0.08344167893508088,0.7629937189640652,-0.19090351624432936,-0.3821931657597376,-0.48510289254289757,-0.7785606812242478,0.9125679922304679,-0.8302166576808625,0.7455598918916676,-0.24209916671739923,0.02606263498808708,0.6203621362838836,-1.313297644837954,0.13580462539105154,-0.09933960949412013,0.7629937189640652,-0.19090351624432936,-0.3821931657597376,-0.48510289254289757,-1.045929163031101,0.5241863088107597,-0.4647781335874913,0.7455598918916676,-0.24209916671739923,0.02606263498808708,0.6203621362838836,fused,0,0,,,,,,,,0.22894311784554805,0.912414770096841,-0.3392408231629681,-0.9376537389491434,0.11307762668007433,-0.3286623132929803,,,,,,,,,,,,,,,,1.3249519650799977,
8,1.3984243869781494,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7118520518044624,0.8212489888775245,-1.041624541695099,0.7472584986992713,-0.23440576057074444,0.02538560165508658,0.6213004480616211,1,1,8,-1.093899481515039,0.252549591094672,-0.07560556546858632,0.764022469563703,-0.19183718315505238,-0.37485656035898135,-0.4888258588871387,1,-1.1654053584487911,0.2762978634011649,-0.03409738402935977,0.4209451770952989,0.7179338528273852,-0.14574856641873482,-0.5349144756234566,3,9|12|pelvis_fk,-0.9775033666952925,0.5765172440003468,-0.36764437016077,0.294344907390443,0.916699921455103,-0.12827227928135826,-0.23784144269972105,0.6492086756498697,46.88798464888046,-1.1384380181670397,0.2301248136104334,-0.07927273163345533,0.764022469563703,-0.19183718315505238,-0.37485656035898135,-0.4888258588871387,-0.7751854505491979,0.9167158800841116,-0.819419786375169,0.7472584986992713,-0.23440576057074444,0.02538560165508658,0.6213004480616211,-1.3165921647750434,0.140425703673479,-0.09394139629293137,0.764022469563703,-0.19183718315505238,-0.37485656035898135,-0.4888258588871387,-1.0458888076621207,0.5285707918787953,-0.4566805913340502,0.7472584986992713,-0.23440576057074444,0.02538560165508658,0.6213004480616211,fused,0,0,,,,,,,,0.22668264893407583,0.9166430175924101,-0.3292120213043726,-0.9404451426464357,0.11807938529935874,-0.31877922209587245,,,,,,,,,,,,,,,,1.3283637083407258,
9,1.4960696697235107,direct,direct,direct,0,0,0,3,0,0,5,1,-0.707225409292769,0.8395712449560745,-1.025874583261867,0.746019042805432,-0.2485599163134853,0.009131124785312288,0.6177298587036694,1,1,8,-1.0933793176411493,0.25275583300186477,-0.07986693183539328,0.7631887265146521,-0.19052436646872598,-0.37891637450111765,-0.4875098097859808,1,-1.165287106021792,0.27637077764568757,-0.03898167337132212,0.4225598288492574,0.7195452721665122,-0.1468809121205863,-0.5311532641341205,3,9|12|pelvis_fk,-0.9823391914612172,0.5824663254760657,-0.36648752912560517,0.29536016966694556,0.9184924975633909,-0.12963833407175682,-0.2287527145919305,0.6496599298663904,48.27464965909755,-1.1378047969501908,0.23015236788745203,-0.08379887193964883,0.7631887265146521,-0.19052436646872598,-0.37891637450111765,-0.4875098097859808,-0.7805908537985937,0.9351067445917851,-0.8068072879806729,0.746019042805432,-0.2485599163134853,0.009131124785312288,0.6177298587036694,-1.3155067141863568,0.13973850742980098,-0.09952663235667103,0.7631887265146521,-0.19052436646872598,-0.37891637450111765,-0.4875098097859808,-1.0480487839924753,0.537422626010793,-0.453166960168672,0.746019042805432,-0.2485599163134853,0.009131124785312288,0.6177298587036694,fused,0,0,,,,,,,,0.2366528884521999,0.9171372125799218,-0.3207097499116016,-0.9262157390298633,0.11325557933635608,-0.3595797248490961,,,,,,,,,,,,,,,,1.3182703502231028,
10,1.5809805393218994,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7080303899975187,0.8048481315214704,-1.06600279288919,0.7448119581959618,-0.24749192562410435,0.02836247029776915,0.6190302609386539,1,1,8,-1.0922551616298617,0.2555487168054956,-0.0718920296261365,0.7646372833791867,-0.19214082229537133,-0.3731077160309272,-0.4890831846550657,1,-1.163605899249517,0.2792765870066382,-0.0301061418546792,0.4204013185252098,0.7173436808849039,-0.14484721980108878,-0.5363767871493483,3,9|12|pelvis_fk,-0.9773547098177423,0.5754826945369556,-0.3762502091427002,0.29875877748512397,0.9157610568546085,-0.1276450807837556,-0.23628714094472736,0.6431733649464004,47.25808263824439,-1.1368212077322637,0.23316076251596388,-0.07544829698509731,0.7646372833791867,-0.19214082229537133,-0.3731077160309272,-0.4890831846550657,-0.7740705321262902,0.9057942180970061,-0.8470311343744495,0.7448119581959618,-0.24749192562410435,0.02836247029776915,0.6190302609386539,-1.3150853921418721,0.14360894535783686,-0.08967336642094052,0.7646372833791867,-0.19214082229537133,-0.3731077160309272,-0.4890831846550657,-1.0445779621340812,0.5247015817274214,-0.468352250397695,0.7448119581959618,-0.24749192562410435,0.02836247029776915,0.6190302609386539,fused,0,0,,,,,,,,0.23199421264166056,0.908083316885649,-0.34865939668211104,-0.936161246443455,0.11109856558618984,-0.3335554367449713,,,,,,,,,,,,,,,,1.3206697154034548,
11,1.6862599849700928,direct,direct,direct,0,0,0,3,0,0,5,1,-0.7050335022259581,0.8151467716964569,-1.056287793579431,0.7457179945559503,-0.24475955262890678,0.0206523209555806,0.61933102266195,1,1,8,-1.0928474852634236,0.25404654315894215,-0.07421323814751046,0.7652462588716366,-0.19242232297410902,-0.3741012660731017,-0.48725768914067874,1,-1.1642860884019113,0.277625969126188,-0.03249349878259096,0.4222560793890843,0.7170914455556539,-0.14426750965812665,-0.5354125024566614,3,9|12|pelvis_fk,-0.977625101849943,0.5761596533721028,-0.3731331101227872,0.29705876317618585,0.9167441006195824,-0.12756872605546674,-0.2346541398143511,0.6448537478858442,47.63401859345558,-1.137333241100092,0.2314911837594888,-0.07771656371071597,0.7652462588716366,-0.19242232297410902,-0.3741012660731017,-0.48725768914067874,-0.7731266905609685,0.9128028845927582,-0.8364546720614084,0.7457179945559503,-0.24475955262890678,0.0206523209555806,0.61933102266195,-1.315276264446766,0.14126974616167542,-0.09172986596353801,0.7652462588716366,-0.19242232297410902,-0.3741012660731017,-0.48725768914067874,-1.0442014775038673,0.5270363153772168,-0.46409226901247325,0.7457179945559503,-0.24475955262890678,0.0206523209555806,0.61933102266195,fused,0,0,,,,,,,,0.23200513201530176,0.9135828706958372,-0.3339759828037272,-0.9338022820471835,0.11304369153080131,-0.33946195935415474,,,,,,,,,,,,,,,,1.3221027021557976,
