frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,torso_link_n_tags,torso_link_tags_used,torso_link_pos_x,torso_link_pos_y,torso_link_pos_z,torso_link_quat_w,torso_link_quat_x,torso_link_quat_y,torso_link_quat_z,torso_link_residual_max_pos_m,torso_link_residual_max_rot_deg,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.6838467121124268,none,direct,direct,0,0,0,2,0,0,0,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8686738014221191,none,direct,direct,0,0,0,2,0,0,3,0,,,,,,,,0,1,8,-0.34584625062095253,0.9744116094929829,-0.75052189064393,-0.4620965699615386,-0.3904350901058742,0.5300186336444066,0.5942284480176923,1,-0.41938139632025834,0.9938009910773921,-0.7907292808695595,0.0037258327411894827,0.9883893708647559,-0.13585771079734296,-0.06793564711447478,2,12|pelvis_fk,-0.41962373841224726,0.9901308550492357,-0.8468770057988598,0.01104406681427162,0.9904144192466794,-0.12643574845618621,-0.05450970783987716,0.05104029389075758,6.216341019909184,-0.35261155608273226,0.9749663102949326,-0.8000589772460822,-0.4620965699615386,-0.3904350901058742,0.5300186336444066,0.5942284480176923,,,,,,,,-0.37967277792985127,0.9771851135027315,-0.9982073236546911,-0.4620965699615386,-0.3904350901058742,0.5300186336444066,0.5942284480176923,-0.37967277792985127,0.9771851135027315,-0.9982073236546911,-0.4620965699615386,-0.3904350901058742,0.5300186336444066,0.5942284480176923,pelvis,0,0,,,,,,,,-0.2680544008875976,-0.9630576011745807,0.025824309955040547,0.135306109235595,-0.011094016038994221,0.9907417320430442,,,,,,,,,,,,,,,,-1.8422621088053155,
3,1.105088472366333,none,direct,direct,0,0,0,2,0,0,3,0,,,,,,,,0,1,8,-0.3465404225576243,0.975249112764121,-0.7519383573338038,-0.4628402748891869,-0.3875262270657336,0.5291752368814602,0.596301829569682,1,-0.42027361397175295,0.9948903159288077,-0.7916578691904589,0.004093727567615872,0.9879217842030312,-0.1375552822481109,-0.07122032025583738,2,12|pelvis_fk,-0.42009468251407084,0.9910495674462224,-0.8456687195607655,0.01103321776653716,0.9900828700821133,-0.12777828587580542,-0.05733138873533899,0.04795753950584712,6.354159299953642,-0.3536327445285911,0.9758243576253162,-0.8014294480715296,-0.4628402748891869,-0.3875262270657336,0.5291752368814602,0.596301829569682,,,,,,,,-0.38200203241245845,0.9781253370700971,-0.9993938110224327,-0.4628402748891869,-0.3875262270657336,0.5291752368814602,0.596301829569682,-0.38200203241245845,0.9781253370700971,-0.9993938110224327,-0.4628402748891869,-0.3875262270657336,0.5291752368814602,0.596301829569682,pelvis,0,0,,,,,,,,-0.27120460655339923,-0.9621235714404897,0.027682027794465502,0.1418464394193368,-0.011504897223904673,0.9898218147545158,,,,,,,,,,,,,,,,-1.8455486701471,
4,1.2691428661346436,none,direct,direct,0,0,0,2,0,0,3,0,,,,,,,,0,1,8,-0.34804334606413123,0.976591299099481,-0.7501871230644892,-0.4643594399015652,-0.38999349333123323,0.5288575225657401,0.5937887726786636,1,-0.42179291268561436,0.9956698521159443,-0.7901497335640727,0.004717348228704222,0.9884996142386011,-0.1341466810058027,-0.0696485983416276,2,12|pelvis_fk,-0.4212552762544294,0.9909578837688244,-0.8454714142020063,0.011732888197810928,0.9904872951524293,-0.12516791376273445,-0.05594864467033065,0.051882031012755465,6.166519545999745,-0.35499138898423,0.9770593022394742,-0.7996998050019628,-0.4643594399015652,-0.38999349333123323,0.5288575225657401,0.5937887726786636,,,,,,,,-0.38278356066462493,0.9789313147994472,-0.9977505327518571,-0.4643594399015652,-0.38999349333123323,0.5288575225657401,0.5937887726786636,-0.38278356066462493,0.9789313147994472,-0.9977505327518571,-0.4643594399015652,-0.38999349333123323,0.5288575225657401,0.5937887726786636,pelvis,0,0,,,,,,,,-0.264550771467212,-0.9639648292016333,0.028012450417077832,0.1389608584019748,-0.009360062799864744,0.9902536387494714,,,,,,,,,,,,,,,,-1.8386420900923106,
5,1.4375767707824707,none,direct,direct,0,0,0,2,0,0,3,0,,,,,,,,0,1,8,-0.3464566777893807,0.9750171801516645,-0.755320168236017,-0.4625374465061959,-0.3844033677587517,0.5321796787465942,0.5958841757962949,1,-0.42009119413413665,0.9948058797556856,-0.7951493707218273,0.007214790848871611,0.9875023344039183,-0.14056152013897066,-0.0709192878985725,2,12|pelvis_fk,-0.4193751621724898,0.9906567578354889,-0.8474010324746141,0.013304020581202206,0.9897868371531995,-0.12990439620550823,-0.05718275860015052,0.0456921217366983,6.384324488428552,-0.3535613862217113,0.9753015701625345,-0.8048120083757137,-0.4625374465061959,-0.3844033677587517,0.5321796787465942,0.5958841757962949,,,,,,,,-0.3819802199510337,0.9764391302060145,-1.0027793689345001,-0.4625374465061959,-0.3844033677587517,0.5321796787465942,0.5958841757962949,-0.3819802199510337,0.9764391302060145,-1.0027793689345001,-0.4625374465061959,-0.3844033677587517,0.5321796787465942,0.5958841757962949,pelvis,0,0,,,,,,,,-0.27658632287051543,-0.9603808116984575,0.03418629143938679,0.142094168646612,-0.005687800217399819,0.9898368027939329,,,,,,,,,,,,,,,,-1.8512046931770438,
6,1.6041476726531982,none,direct,direct,0,0,0,2,0,0,3,0,,,,,,,,0,1,8,-0.3456531426303582,0.9752651113816697,-0.7522603429392483,-0.45891448434958354,-0.3860899961785285,0.5337946330321209,0.5961504010324267,1,-0.4189208025112813,0.9954567329876112,-0.7925610679016586,0.0052343600853747094,0.9874747572963298,-0.1424702767682177,-0.06759012808568036,2,12|pelvis_fk,-0.4186368743450937,0.9910334221130039,-0.847036269111125,0.012198399042490976,0.989756310675233,-0.13140959496397636,-0.054453309272767675,0.048923795105496534,6.421806503384351,-0.3524020712360685,0.9757111899616956,-0.8018007605452341,-0.45891448434958354,-0.3860899961785285,0.5337946330321209,0.5961504010324267,,,,,,,,-0.37939778565890964,0.9774955042817992,-0.9999624309691773,-0.45891448434958354,-0.3860899961785285,0.5337946330321209,0.5961504010324267,-0.37939778565890964,0.9774955042817992,-0.9999624309691773,-0.45891448434958354,-0.3860899961785285,0.5337946330321209,0.5961504010324267,pelvis,0,0,,,,,,,,-0.2806640218100392,-0.9593496434241682,0.029596765420146203,0.1349785721142057,-0.00892157160051826,0.9908083521197156,,,,,,,,,,,,,,,,-1.8554103560646829,
7,1.7693216800689697,direct,direct,direct,0,0,0,3,0,0,4,1,-0.38343009481678075,0.9957205082181163,-1.2469119245648372,0.7410642584191778,-0.12221192973462633,-0.07878643678488381,0.6555003482096059,1,1,8,-0.3442708228665954,0.9754051006089028,-0.7530689590451054,-0.4620591448897662,-0.3870817967178196,0.5311206685230005,0.5954660903369089,1,-0.4178526183020456,0.9950836717764608,-0.7930498697063061,0.005315963179019073,0.9878638502337476,-0.13872290862616185,-0.06966138499292747,3,9|12|pelvis_fk,-0.45044098221692663,1.0051086950344685,-0.8271353338833229,0.018304955366395263,0.9940801288599853,-0.106610033148249,0.010194451769409486,0.08841530558674385,16.108779008977248,-0.35122616385320254,0.9758463188180447,-0.8025808622427401,-0.4620591448897662,-0.3870817967178196,0.5311206685230005,0.5954660903369089,-0.4526779822397281,1.0151816863841574,-1.007483453760197,0.7410642584191778,-0.12221192973462633,-0.07878643678488381,0.6555003482096059,-0.37904752779963125,0.9776111916546124,-1.0006284750332786,-0.4620591448897662,-0.3870817967178196,0.5311206685230005,0.5954660903369089,-0.4158627550196797,0.9963964390193849,-1.0040559643967377,0.7410642584191778,-0.12221192973462633,-0.07878643678488381,0.6555003482096059,fused,0,0,,,,,,,,0.12822398175165398,0.9907930438317202,-0.04344830029387214,-0.9522784739261368,0.11076707545524915,-0.28442285965090586,,,,,,,,,,,,,,,,1.4420961471965836,
8,1.9382266998291016,direct,direct,direct,0,0,0,3,0,0,4,1,-0.43707491514491414,0.9664267401551505,-1.2363480837082208,0.7401313565058094,-0.11897958915875514,-0.05626549964738122,0.6594570691333248,1,1,8,-0.3461254258279891,0.9762024544238845,-0.7533980340675693,-0.4625271227511894,-0.3843823525400753,0.5318115072671129,0.5962343402669331,1,-0.41978327404486937,0.9960285553171739,-0.7931654468502504,0.006860968605647019,0.9874776614126555,-0.14056818612139071,-0.07128380160546716,3,9|12|pelvis_fk,-0.46412858729687934,0.9994574230949307,-0.8225733822286563,0.023684786557226816,0.9940569601465936,-0.10620746278733652,0.0031250149005635254,0.10246887297241569,15.150059819918416,-0.3532609853897793,0.9765269725696633,-0.8028851887414158,-0.4625271227511894,-0.3843823525400753,0.5318115072671129,0.5962343402669331,-0.4971278110108207,0.9919046617700451,-0.9950090582516986,0.7401313565058094,-0.11897958915875514,-0.05626549964738122,0.6594570691333248,-0.3818032236369401,0.9778250451527782,-1.0008338074368017,-0.4625271227511894,-0.3843823525400753,0.5318115072671129,0.5962343402669331,-0.4394655173238804,0.9848648534614117,-0.9979214328442502,0.7401313565058094,-0.11897958915875514,-0.05626549964738122,0.6594570691333248,fused,0,0,,,,,,,,0.12390113503903105,0.9895586023337011,-0.07363614114965272,-0.9627808182062704,0.10192046266739775,-0.2503304124227149,,,,,,,,,,,,,,,,1.4462360583658547,
9,2.100339889526367,direct,direct,direct,0,0,0,3,0,0,4,1,-0.4661781084181491,0.9930455225157853,-1.1968752464706405,0.7442212018704746,-0.11073776383454238,-0.03517536051458534,0.6577496821436407,1,1,8,-0.3454949040910271,0.9749098586444166,-0.7511848748962291,-0.4610379942311753,-0.38550270966825734,0.5322456380379313,0.5962769570453997,1,-0.4190025819194281,0.9948745313888387,-0.7911602816169134,0.005751982777725118,0.987531649491382,-0.14099094559194902,-0.06978330178519321,3,9|12|pelvis_fk,-0.4663052692374765,1.0102053875784875,-0.8070515013629573,0.02620130173939774,0.9938455800303432,-0.10758928383547252,-0.0030001408436969796,0.12866009439493695,13.652756402030846,-0.3524673237520018,0.9753257135109056,-0.8006945954448372,-0.4610379942311753,-0.38550270966825734,0.5322456380379313,0.5962769570453997,-0.515686097439079,1.022683927263603,-0.9536253256338434,0.7442212018704746,-0.11073776383454238,-0.03517536051458534,0.6577496821436407,-0.3803570023959005,0.9769891329768615,-0.9987334776392698,-0.4610379942311753,-0.38550270966825734,0.5322456380379313,0.5962769570453997,-0.44802154991748977,0.9998365301202323,-0.9761794016365566,0.7442212018704746,-0.11073776383454238,-0.03517536051458534,0.6577496821436407,fused,0,0,,,,,,,,0.13225609930521676,0.9868129994806438,-0.09331895977015167,-0.9712320364188078,0.1102050066017299,-0.21109994778229682,,,,,,,,,,,,,,,,1.4375667771370162,
10,2.275251626968384,direct,direct,direct,0,0,0,3,0,0,4,1,-0.45630366465637945,1.0160608572496173,-1.18072119864795,0.6959336488845276,-0.3381053805166416,0.32711583606614114,0.5425461619168582,1,1,8,-0.3498505659470492,0.97506147345051,-0.7485444691441328,-0.46486106076106537,-0.3857263880460736,0.5291645543572174,0.5959062192702425,1,-0.42375891739208904,0.9944936382572604,-0.7880406279143192,0.006196503900983296,0.9878291112172995,-0.13724166241016061,-0.07293816881400826,3,9|12|pelvis_fk,-0.4197038841649694,1.1307896003524434,-0.8662922443564367,0.16981107314038615,0.9769273532709775,-0.12403677642845819,-0.03730983735035388,0.2854735783540096,36.91045927064361,-0.35714065244403537,0.9754503803105125,-0.7980086318310792,-0.46486106076106537,-0.3857263880460736,0.5291645543572174,0.5959062192702425,-0.4341970942170396,1.2224480335147907,-1.0413812079177267,0.6959336488845276,-0.3381053805166416,0.32711583606614114,0.5425461619168582,-0.38630099843197985,0.9770060077505223,-0.995865282578865,-0.46486106076106537,-0.3857263880460736,0.5291645543572174,0.5959062192702425,-0.41024904632450976,1.0997270206326566,-1.0186232452482957,0.6959336488845276,-0.3381053805166416,0.32711583606614114,0.5425461619168582,fused,0,0,,,,,,,,0.19727778396807102,0.5339530118498658,-0.8221773878483304,-0.9763515087545132,0.18265682770996655,-0.11564693962105789,,,,,,,,,,,,,,,,1.2168856924070355,
