frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
17,4.6858696937561035,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6705601518953791,0.5253801591115547,-0.15613729351023298,0.9791354640525861,0.007008119754762247,-0.05557418466679408,0.19533596517449378
18,4.933801889419556,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6634957700737728,0.5254763372292778,-0.15327604981577164,0.979731384165381,0.019500051272158835,-0.0475923444697546,0.19360044325786627
19,5.172595739364624,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6715837222931446,0.5200885683280714,-0.1620146919497482,0.9765824783364487,0.038655178727594275,-0.09050329719044165,0.19131542896859097
20,5.411978244781494,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6665324895898996,0.5207378453097782,-0.158054423524922,0.9793027095814317,0.029108111826461197,-0.04862024190050815,0.19430644073190262
21,5.646868467330933,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.66110247477991,0.5198413600152623,-0.156651027775325,0.9796555368088637,0.04084387030194445,-0.03603783332353261,0.1931530016019434
22,5.891101121902466,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6744902078562393,0.5174329212583489,-0.14906479118663654,0.9777581145648765,0.03507794794141503,-0.0734800530562476,0.19328551102865524
23,6.139802694320679,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6635900416251002,0.5121821509513601,-0.1714430549187276,0.9765288197928956,0.06536682596383207,-0.07169869164628466,0.1922964892906769
24,6.383291721343994,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6704144424477462,0.5122932039574666,-0.1584113921452831,0.9775465812071423,0.04854965365614081,-0.06815318413410831,0.19339275113736595
25,6.626147985458374,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6642900944756556,0.5262328709639273,-0.15505671491261525,0.9797565416253295,0.023914002665849515,-0.04967355163325722,0.19245201450494076
26,6.8643505573272705,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6669372204559095,0.5269463908356953,-0.1517410558422359,0.9792764482685744,0.020173952952034908,-0.0559765873831221,0.19359047278653732
