frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.5777792930603027,direct,direct,direct,0,0,0,3,0,0,4,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0.06874659133622127,0.9156211600179243,-0.18551910307283173,-0.32648382214564975,-0.0811819855994533,0.023224041977053935,0.9414236256678211,,,,,,,-0.7736355981825962,-0.6184899148151761,-0.13768873046322114,0.6109484194498069,-0.7857379155028318,0.0967365334971648,,,,,,,,,,,-2.4671816976727476
2,0.6891500949859619,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06062413915223396,0.9259464093650195,-0.19624971500308966,-0.3351408768163601,-0.08377414829599894,0.048862621914696404,0.9371632349509144,,,,,,,-0.7613249695280833,-0.6363502656318384,-0.12426837974059668,0.6199765674941858,-0.7705860737327659,0.14773678867245033,,,,,,,,,,,-2.4453734508973004
3,0.9308216571807861,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06764955636744405,0.9209948382886303,-0.1813737953153206,-0.32618723113393355,-0.09390917605649869,0.01632301719074942,0.9404873821627582,,,,,,,-0.7695659137951345,-0.616615712398422,-0.16599207073847186,0.6104841880178643,-0.7866708987099365,0.09196713164532799,,,,,,,,,,,-2.46608917052094
4,1.047741174697876,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06955547553876833,0.9210061382637765,-0.18099790143451053,-0.3262672116242256,-0.09713049781833245,0.01719279689983009,0.9401168973841906,,,,,,,-0.7682307460250318,-0.6167985272642563,-0.17140915269164686,0.6101187475771767,-0.7865082287074282,0.09570747113137013,,,,,,,,,,,-2.465096950667954
5,1.1459100246429443,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06583676482583593,0.9209525216757889,-0.18512534770862457,-0.32803624152273764,-0.09402565870168379,0.02031688571040509,0.9397545551410651,,,,,,,-0.7671027995067007,-0.6203677215680693,-0.16339273247431632,0.612726487321319,-0.7839588968053323,0.09987341915966719,,,,,,,,,,,-2.4615600891090166
6,1.258195400238037,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06616613979840194,0.9210764866863215,-0.18503637592941485,-0.32837614642312013,-0.09174883523306193,0.021160385085297904,0.9398422717651724,,,,,,,-0.7675025153873567,-0.6211264482649145,-0.15856173605222,0.6133606855262779,-0.7834426891266871,0.10003110668526984,,,,,,,,,,,-2.4612171496315964
7,1.35988187789917,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06963895584959164,0.9231018880862544,-0.16464356228913907,-0.32544528611604745,-0.10218647937776601,0.014269534269645213,0.9399147139868324,,,,,,,-0.7672865783544426,-0.6146979329750059,-0.1828052457490938,0.6088653190975042,-0.7877634922731426,0.093336506480135,,,,,,,,,,,-2.466161767634646
8,1.4565434455871582,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.0644600982064534,0.9219186843649162,-0.18072109429391203,-0.3267702508442943,-0.09520456297178753,0.017660947234803333,0.940130515032502,,,,,,,-0.768314588705016,-0.617776173973407,-0.16746728532409272,0.6110505629207779,-0.785818588211853,0.09542722868725984,,,,,,,,,,,-2.4643769321923643
9,1.5611209869384766,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06805085768174031,0.9215452311393412,-0.17708933041441294,-0.32534178215399917,-0.09746218329056762,0.01512438353253419,0.9404387809080699,,,,,,,-0.7693076952261914,-0.6148761688547412,-0.17347324589193006,0.608979947094722,-0.7878479556152411,0.09186415443139107,,,,,,,,,,,-2.4673036487172135
10,1.6545491218566895,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06878568107828346,0.930486522154056,-0.18464198092945894,-0.3330935106167987,-0.07393616256441718,0.045186321714186434,0.9389038041142269,,,,,,,-0.76716431410045,-0.6321673349436462,-0.10873534752340139,0.6188037220318539,-0.7740138190298375,0.13410653060299,,,,,,,,,,,-2.45236933171071
11,1.75008225440979,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06491023468605318,0.9201803767614865,-0.1852373808702238,-0.3285343830562919,-0.0921780743227111,0.02063879591188114,0.939756565216379,,,,,,,-0.7671367235279577,-0.6212895756799197,-0.15968879286367296,0.6136797978259326,-0.7832783985062592,0.09935822147056042,,,,,,,,,,,-2.4608555908271805
12,1.845473289489746,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06673745749669505,0.9206921578734065,-0.18160373804930652,-0.32700103469124925,-0.09288322080290115,0.017382101605558604,0.9402876651046242,,,,,,,-0.7688860612082637,-0.618179089956157,-0.16330596321206214,0.6117210676303667,-0.7855363717092528,0.09343417008261297,,,,,,,,,,,-2.4644216308976503
13,1.9337172508239746,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0.06764746025251048,0.9213951836568055,-0.1799624632119298,-0.3269087329028047,-0.09624715245888288,0.01784604246865236,0.9399727042652071,,,,,,,-0.7677343319908785,-0.6180058329696597,-0.16927133808769007,0.6111353098885868,-0.7856243982401796,0.09647765491105474,,,,,,,,,,,-2.4638264061243262
