frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
1,0.7613728046417236,none,none,none,0,0,0,0,0,0,0,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,
2,1.0392260551452637,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.829189644106452,0.17562884685248006,-0.1657265253884128,0.9881410330166995,0.040247219468475794,-0.13580206040148515,-0.05928963302684321
3,1.374896764755249,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8195115644344587,0.1731433816510296,-0.17467755415370578,0.9912010957442893,0.04785860032397571,-0.1062849578404663,-0.06271722177520953
4,1.6317546367645264,direct,direct,direct,0,0,0,3,0,0,7,0,,,,,,,,0,1,7,-0.5892733485245196,1.3359484244025626,-0.7359095036117923,0.5394364898890424,0.5095931745963651,0.46557443297293727,0.4822483977608588,1,-0.5892733485245196,1.3359484244025626,-0.7859095036117923,0.5394364898890424,0.5095931745963651,0.46557443297293727,0.4822483977608588,,,,,,,,-0.5892733485245196,1.3359484244025626,-0.9859095036117924,0.5394364898890424,0.5095931745963651,0.46557443297293727,0.4822483977608588,-0.5892733485245196,1.3359484244025626,-0.9859095036117924,0.5394364898890424,0.5095931745963651,0.46557443297293727,0.4822483977608588,pelvis,1,5,-0.8281133431815443,0.17898527748870519,-0.19347321446539037,0.9851100248756288,0.041271297358027106,-0.15637151468245597,-0.058334109231545576
5,1.8841373920440674,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8270199494192614,0.17393909430958143,-0.18183918902951984,0.9875562789007265,0.05343464528918994,-0.13618183005757756,-0.057722126162660835
6,2.1416149139404297,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8189442156454956,0.1766999817480989,-0.1678369885615245,0.992045199380149,0.040003299276030864,-0.10136761797308148,-0.06301320861768812
7,2.40942120552063,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8174456888135413,0.17408485868624882,-0.17224483221977177,0.9932488057401934,0.029530765760596205,-0.09332490478860765,-0.062251151920825996
8,2.6705493927001953,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8195097985091067,0.1806124665450812,-0.17970085992639262,0.9919077914815984,0.047335356111702045,-0.10136286830549979,-0.06003220959416943
9,2.9275999069213867,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8158511326317188,0.17483726631205554,-0.1723665690374473,0.9908410990664441,0.049835395760453746,-0.10840320865177158,-0.06323839090458118
10,3.1891849040985107,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8259785041500217,0.17947839862786288,-0.179523448007482,0.9883232955160255,0.037376913735404325,-0.13557572903988804,-0.05864513240893953
11,3.465843677520752,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.8115073453738255,0.1772975327481125,-0.1960210946187282,0.990959475649805,0.04457797043120475,-0.10901100781774294,-0.06425513478826612
