frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,pelvis_link_pos_x,pelvis_link_pos_y,pelvis_link_pos_z,pelvis_link_quat_w,pelvis_link_quat_x,pelvis_link_quat_y,pelvis_link_quat_z,torso_link_n_tags,torso_link_tags_used,torso_link_pos_x,torso_link_pos_y,torso_link_pos_z,torso_link_quat_w,torso_link_quat_x,torso_link_quat_y,torso_link_quat_z,torso_link_residual_max_pos_m,torso_link_residual_max_rot_deg,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,torso_rot6d_0,torso_rot6d_1,torso_rot6d_2,torso_rot6d_3,torso_rot6d_4,torso_rot6d_5,obj_rot6d_0,obj_rot6d_1,obj_rot6d_2,obj_rot6d_3,obj_rot6d_4,obj_rot6d_5,obj_in_torso_pos_x,obj_in_torso_pos_y,obj_in_torso_pos_z,obj_in_torso_rot6d_0,obj_in_torso_rot6d_1,obj_in_torso_rot6d_2,obj_in_torso_rot6d_3,obj_in_torso_rot6d_4,obj_in_torso_rot6d_5,torso_yaw_rad,obj_yaw_rad
1,0.6516158580780029,direct,direct,direct,0,0,0,3,0,0,2,1,-0.22385329910911145,0.6358929345930601,-1.2731467811672863,0.5527852540672241,-0.28299132875779154,-0.3777792695117928,-0.6867511880301849,1,0,-1,,,,,,,,0,,,,,,,,1,9,-0.23776003023079426,1.0351317784809926,-1.007035999047252,0.06702519568186305,0.09472822035319864,0.8764846237349243,-0.46723537084511507,0.0,0.0,,,,,,,,-0.2310963882349879,0.8438298324513582,-1.1345474154797683,0.5527852540672241,-0.28299132875779154,-0.3777792695117928,-0.6867511880301849,,,,,,,,-0.2310963882349879,0.8438298324513582,-1.1345474154797683,0.5527852540672241,-0.28299132875779154,-0.3777792695117928,-0.6867511880301849,head,0,0,,,,,,,,-0.22868874146746804,-0.5454353449998878,0.8063508814101215,0.9730683748250478,-0.10342257282594118,0.2060138571684038,,,,,,,,,,,,,,,,-1.967809956923447,
2,0.859215497970581,direct,direct,direct,0,0,0,3,0,0,5,1,-0.21058468204070394,0.6842011259617236,-1.257617115289161,0.5545241714380824,-0.2709708150764362,-0.3677847254704595,-0.6955660690246032,1,1,8,-0.14401122522176935,0.7272833254766424,-0.7300110280136984,0.6551028552017337,0.5662568013143854,0.3430934937413537,0.3639784864852438,1,-0.07927343816092824,0.6881451442984353,-0.7709649252705778,0.05486552331561923,0.2571438381447609,0.9642158183713583,-0.033980530571729145,3,9|12|pelvis_fk,-0.12945848429338422,0.8149696271746422,-0.8809403048469124,0.052365073699446416,0.20105521431955786,0.9628056923306333,-0.17274228974717815,0.29281336564323723,35.374890352264806,-0.13959479308069606,0.7225960358425312,-0.7795945378030351,0.6551028552017337,0.5662568013143854,0.3430934937413537,0.3639784864852438,-0.21831838978869383,0.8872403471901951,-1.1119625087454459,0.5545241714380824,-0.2709708150764362,-0.3677847254704595,-0.6955660690246032,-0.1219290645164029,0.7038468773060864,-0.9779285769603819,0.6551028552017337,0.5662568013143854,0.3430934937413537,0.3639784864852438,-0.17012372715254837,0.7955436122481407,-1.044945542852914,0.5545241714380824,-0.2709708150764362,-0.3677847254704595,-0.6955660690246032,fused,0,0,,,,,,,,-0.2381555213354401,-0.5720985425458365,0.7848472496443968,0.9707342498794113,-0.11447467800305411,0.21111741805723566,,,,,,,,,,,,,,,,-1.9652614199785607,
3,1.087782621383667,direct,direct,direct,0,0,0,3,0,0,5,1,-0.22290468950412418,0.6699094842291078,-1.2634878859355172,0.5554693491234861,-0.2760262434007666,-0.371741940424359,-0.6907034420559405,1,1,8,-0.14279588848408653,0.72643760903081,-0.7312296387424009,0.6560357624845287,0.5659964682542972,0.3434819239958737,0.3623330569422258,1,-0.0782083078390161,0.6870410639813026,-0.7721729735428131,0.054445213588291935,0.25810862490036324,0.9639236058384628,-0.03559408064193948,3,9|12|pelvis_fk,-0.13301975358151447,0.8107484762781784,-0.8854578915391786,0.0519315122624265,0.20066368209455707,0.9623058565366044,-0.17608135391842147,0.2928425889730175,35.90299038289131,-0.13846649974472774,0.7216013336537537,-0.7808065167564588,0.6560357624845287,0.5659964682542972,0.3434819239958737,0.3623330569422258,-0.23082417814149417,0.8749532620143496,-1.1206791645937206,0.5554693491234861,-0.2760262434007666,-0.371741940424359,-0.6907034420559405,-0.12114894478729259,0.7022562321455281,-0.9791140288126909,0.6560357624845287,0.5659964682542972,0.3434819239958737,0.3623330569422258,-0.17598656146439337,0.7886047470799389,-1.049896596703206,0.5554693491234861,-0.2760262434007666,-0.371741940424359,-0.6907034420559405,fused,0,0,,,,,,,,-0.23052663027678297,-0.5621081201326341,0.7942870602082015,0.9725502454520243,-0.10652346382772633,0.20687864008966872,,,,,,,,,,,,,,,,-1.959988438662571,
4,1.2585957050323486,direct,direct,direct,0,0,0,3,0,0,5,1,-0.21824208543214724,0.7045269507429613,-1.2417919643451174,0.5580103141386573,-0.2693531644408554,-0.3587147063162901,-0.6981383255437223,1,1,8,-0.14421962891148143,0.7278482858436373,-0.7236791159208871,0.6529089544662618,0.5696665785263904,0.344789564753585,0.36098482312258273,1,-0.07998611006851673,0.6886845657465044,-0.7653955165950097,0.04971881715443452,0.2584005725582425,0.9641749604344099,-0.033523558785436926,3,9|12|pelvis_fk,-0.13141031772908782,0.8203690714023408,-0.8711745688988851,0.0477560614313207,0.20163012795156512,0.9633929936451658,-0.17011346182536222,0.29833675810771737,34.79198732253099,-0.14029211573364386,0.7233312911651179,-0.7733195369435995,0.6529089544662618,0.5696665785263904,0.344789564753585,0.36098482312258273,-0.22430245480968103,0.9048941149026843,-1.0924056482060598,0.5580103141386573,-0.2693531644408554,-0.3587147063162901,-0.6981383255437223,-0.12458206302229355,0.7052633124510403,-0.9718812210344487,0.6529089544662618,0.5696665785263904,0.344789564753585,0.36098482312258273,-0.1744422589159873,0.8050787136768623,-1.0321434346202543,0.5580103141386573,-0.2693531644408554,-0.3587147063162901,-0.6981383255437223,fused,0,0,,,,,,,,-0.23214672424114924,-0.585894890142248,0.7764245463207018,0.9723786552533068,-0.11989649757458948,0.20026128102335944,,,,,,,,,,,,,,,,-1.9480449325175127,
5,1.4371492862701416,direct,direct,direct,0,0,0,3,0,0,5,1,-0.21809435457011273,0.6861465677848254,-1.2528807773413444,0.5566386668180446,-0.2701344912996229,-0.3655304293271299,-0.6953907221478066,1,1,8,-0.143573725164867,0.726225974984375,-0.7318304953503423,0.655460946611909,0.5654026080715856,0.34403018087422177,0.36377750466476005,1,-0.07881601285268552,0.6870645488792106,-0.7727306347327758,0.05490283116543067,0.25652793457225664,0.9643356201112382,-0.03515550737489262,3,9|12|pelvis_fk,-0.13148153205723043,0.81403576998734,-0.8807025124191437,0.051872460705069526,0.20038306453068985,0.9629093039257733,-0.1730940428867303,0.2938799143846229,35.10410550853602,-0.13918108656066128,0.7214273931958021,-0.7814054722934657,0.655460946611909,0.5654026080715856,0.34403018087422177,0.36377750466476005,-0.22590403051021565,0.8884234539425171,-1.1061733464182355,0.5566386668180446,-0.2701344912996229,-0.3655304293271299,-0.6953907221478066,-0.12161053214383839,0.7022330660415103,-0.9797053800659593,0.655460946611909,0.5654026080715856,0.34403018087422177,0.36377750466476005,-0.17375728132702703,0.7953282599920137,-1.0429393632420974,0.5566386668180446,-0.2701344912996229,-0.3655304293271299,-0.6953907221478066,fused,0,0,,,,,,,,-0.2343615024266484,-0.5766779758263503,0.7826347796879121,0.9716474821496182,-0.11308179967790821,0.20763833223639616,,,,,,,,,,,,,,,,-1.9568071050917188,
6,1.6037962436676025,direct,direct,direct,0,0,0,3,0,0,5,1,-0.22199678536178744,0.7081082119450643,-1.2372939873169186,0.5581694755588987,-0.26879476430656174,-0.3589155464985585,-0.6981230849336849,1,1,8,-0.14152634200395786,0.7272980013188655,-0.7305213301603137,0.6558925524579915,0.5654683543852722,0.3433038240567448,0.363583531264782,1,-0.0767847574581099,0.6880433845304201,-0.7713576166134809,0.05535195264037828,0.2572367757608687,0.9641241310823953,-0.03507224543234095,3,9|12|pelvis_fk,-0.13136859512685442,0.8210088570029793,-0.8723108112070446,0.05070242035856096,0.20077394653916752,0.9633183284704563,-0.17069529868674652,0.3007693641600581,34.65729529386101,-0.1370919138130169,0.7224927457206811,-0.7800919400542369,0.6558925524579915,0.5654683543852722,0.3433038240567448,0.363583531264782,-0.22833872150544554,0.9084083425341665,-1.0878294847354082,0.5581694755588987,-0.26879476430656174,-0.3589155464985585,-0.6981230849336849,-0.11935420104925312,0.7032717233279437,-0.9783743796299292,0.6558925524579915,0.5654683543852722,0.3433038240567448,0.363583531264782,-0.17384646127734932,0.8058400329310551,-1.0331019321826687,0.5581694755588987,-0.26879476430656174,-0.3589155464985585,-0.6981230849336849,fused,0,0,,,,,,,,-0.23239242247136777,-0.5863927529319084,0.775975064861511,0.9722912318400726,-0.11925293407189036,0.2010683918525235,,,,,,,,,,,,,,,,-1.9481163165348923,
7,1.7768208980560303,direct,direct,direct,0,0,0,3,0,0,5,1,-0.22445615748812928,0.6912036034576937,-1.2507724398246343,0.5576975573929099,-0.27086838607640146,-0.36346389694967185,-0.6953400229502871,1,1,8,-0.14379585586080057,0.7265990152874504,-0.7277948428838162,0.6542308454985072,0.566555215375555,0.3444919056096285,0.36376161933127815,1,-0.07910925900468352,0.6875814530838332,-0.7689442538985689,0.0534726719223008,0.25626626796657775,0.9645197929074845,-0.03420295820065116,3,9|12|pelvis_fk,-0.13389821154770884,0.8164793096044124,-0.8765254171732553,0.05066322675260343,0.19975942849690054,0.9633552337959206,-0.17168605563531697,0.2968096538795332,35.1469776618911,-0.13951481726107962,0.7219297480642259,-0.7773919259845976,0.6542308454985072,0.566555215375555,0.3444919056096285,0.36376161933127815,-0.2316348063573632,0.8931004193258708,-1.1035102833053723,0.5576975573929099,-0.27086838607640146,-0.36346389694967185,-0.6953400229502871,-0.12239066286219578,0.703252679171328,-0.9757802583877233,0.6542308454985072,0.566555215375555,0.3444919056096285,0.36376161933127815,-0.17701273460977948,0.7981765492485995,-1.0396452708465478,0.5576975573929099,-0.27086838607640146,-0.36346389694967185,-0.6953400229502871,fused,0,0,,,,,,,,-0.23120750380469535,-0.5786771063862154,0.7820971146404253,0.972480623041404,-0.11373486018428067,0.20333671431363357,,,,,,,,,,,,,,,,-1.9509103403964163,
8,1.946678638458252,direct,direct,direct,0,0,0,3,0,0,5,1,-0.22762406670933474,0.6924218609098536,-1.2482771009097233,0.5579537474288382,-0.271948263467235,-0.3625481196528002,-0.6951910663001148,1,1,8,-0.14216193212356654,0.7275503222914017,-0.7263076434634717,0.6544802201366391,0.5675993059314495,0.3427181986045948,0.36336057257393095,1,-0.07755699381578099,0.6883969967762609,-0.7674563864254705,0.05376164408726298,0.2580003774447812,0.9640791486233071,-0.03311927011792693,3,9|12|pelvis_fk,-0.13330992965233734,0.8172060913164374,-0.8755899152297731,0.050155922154763326,0.20085005235018213,0.9632011036691533,-0.17142716772512862,0.2976792670176192,35.22853980571534,-0.13783336253665485,0.7229703100709135,-0.7759089234206606,0.6544802201366391,0.5675993059314495,0.3427181986045948,0.36336057257393095,-0.2342386060719883,0.8943092442072739,-1.1009755994430361,0.5579537474288382,-0.271948263467235,-0.3625481196528002,-0.6951910663001148,-0.12051908418900809,0.7046502611889606,-0.9743140432494168,0.6544802201366391,0.5675993059314495,0.3427181986045948,0.36336057257393095,-0.17737884513049818,0.7994797526981172,-1.0376448213462264,0.5579537474288382,-0.271948263467235,-0.3625481196528002,-0.6951910663001148,fused,0,0,,,,,,,,-0.2294635154545433,-0.5785802581166172,0.7826821704836203,0.9729575843681784,-0.11449295333267082,0.20061132235644635,,,,,,,,,,,,,,,,-1.9483661243086405,
9,2.1229114532470703,direct,direct,direct,0,0,0,3,0,0,5,1,-0.21924848554957566,0.6880527754727556,-1.253727352640857,0.5559611660555341,-0.2712416556351704,-0.3676177100319423,-0.6944007239032324,1,1,8,-0.14257164432253377,0.7270255350877961,-0.7277083796553183,0.6543500435746754,0.5667785687889957,0.3443970691322123,0.3632887738541621,1,-0.07794305562674023,0.6879413641016555,-0.7688857168872967,0.0532315897538146,0.2567213846886483,0.9644072276750226,-0.03433988503186495,3,9|12|pelvis_fk,-0.13216753852277396,0.816196440600163,-0.8786644077201506,0.051355140834383625,0.20028429245909363,0.9629756241320109,-0.17299363870271367,0.29679475038039815,35.40092871355304,-0.13831952961615568,0.7223472030124923,-0.7773070966701463,0.6543500435746754,0.5667785687889957,0.3443970691322123,0.3632887738541621,-0.2272638699027008,0.8910896910305518,-1.1080847608812758,0.5559611660555341,-0.2712416556351704,-0.3676177100319423,-0.6944007239032324,-0.12131107079064327,0.7036338747112775,-0.9757019647294581,0.6543500435746754,0.5667785687889957,0.3443970691322123,0.3632887738541621,-0.17428747034667202,0.7973617828709146,-1.041893362805367,0.5559611660555341,-0.2712416556351704,-0.3676177100319423,-0.6944007239032324,fused,0,0,,,,,,,,-0.23467029217292468,-0.572693199722348,0.7854631455155949,0.9715461449618445,-0.11152880221808344,0.20894835363213296,,,,,,,,,,,,,,,,-1.9596933513830048,
10,2.2973203659057617,direct,direct,direct,0,0,0,3,0,0,5,1,-0.22633927859361225,0.6691119987763752,-1.2626327154073103,0.5557510124553406,-0.27745301564071967,-0.3699053726217589,-0.6908912009660364,1,1,8,-0.14301772886918362,0.7280063325803083,-0.7250824215909535,0.65351370624146,0.5674979462275722,0.34489346515526365,0.3632002401915963,1,-0.07844360908891251,0.6890188443816658,-0.766436488120908,0.05216126752511039,0.2564589735610859,0.9645526789079462,-0.03385449248877744,3,9|12|pelvis_fk,-0.13430802172702205,0.8119190984167444,-0.8815999057617944,0.0497638832526992,0.19937627213963283,0.9629404033240944,-0.17469527090721546,0.29185586501714667,35.978986516301575,-0.13885472867593604,0.7234031659250829,-0.7746957291418036,0.65351370624146,0.5674979462275722,0.34489346515526365,0.3632002401915963,-0.23328199767338587,0.873991579519152,-1.1195377956985961,0.5557510124553406,-0.27745301564071967,-0.3699053726217589,-0.6908912009660364,-0.12220272790294567,0.7049904993041812,-0.9731489593452042,0.65351370624146,0.5674979462275722,0.34489346515526365,0.3632002401915963,-0.17774236278816577,0.7894910394116665,-1.0463433775219002,0.5557510124553406,-0.27745301564071967,-0.3699053726217589,-0.6908912009660364,fused,0,0,,,,,,,,-0.22832127253346876,-0.5626642465954994,0.7945302650697557,0.9731896911379445,-0.10862165492084319,0.20273914556663733,,,,,,,,,,,,,,,,-1.9562806596662756,
11,2.4694344997406006,direct,direct,direct,0,0,0,3,0,0,5,1,-0.2138981868406618,0.6582005681511998,-1.2701595371013616,0.553348117669706,-0.27627046770328767,-0.3739991299907794,-0.6910898205823466,1,1,8,-0.14320872017787134,0.7274564030562488,-0.7277969613079736,0.6549004610399453,0.5682089942064285,0.34233103703144424,0.3620129640186417,1,-0.07876718323608942,0.6881009995343024,-0.7690091018760845,0.053186696910357066,0.2593827270981441,0.9637267281482296,-0.033504769923159886,3,9|12|pelvis_fk,-0.1304499560866196,0.8077390248514844,-0.8869111916750516,0.051541665720830715,0.20180621709076887,0.9621607232670688,-0.17568281088492066,0.2867759589829813,36.14976276418145,-0.13895203189777483,0.7228478877777131,-0.7774018218743898,0.6549004610399453,0.5682089942064285,0.34233103703144424,0.3620129640186417,-0.22191019015728156,0.8638709356085124,-1.1282598973807882,0.553348117669706,-0.27627046770328767,-0.3739991299907794,-0.6910898205823466,-0.12192527877738882,0.7044138266635703,-0.9758212641400547,0.6549004610399453,0.5682089942064285,0.34233103703144424,0.3620129640186417,-0.1719177344673352,0.7841423811360413,-1.0520405807604214,0.553348117669706,-0.27627046770328767,-0.3739991299907794,-0.6910898205823466,fused,0,0,,,,,,,,-0.23496097869279947,-0.5581766735935222,0.795758845095543,0.9714763318462233,-0.1078610228750668,0.21118649674387605,,,,,,,,,,,,,,,,-1.9692262783120276,
