frame_idx,t_sec,origin_visible,origin_held_frames,origin_source,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_margin,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_margin_max,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
1,0.5177886486053467,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.44823610356048943,1.0553543523720705,-0.18777820457808742,0.956296068095007,0.07903094036505218,-0.053513268279841444,0.2763842809008051
2,0.6692721843719482,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.45143482740010227,1.057813424933361,-0.18695653245959407,0.9560666709164911,0.08018708667696756,-0.05436152412490645,0.27667919435283855
3,0.7913155555725098,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.45201650179014086,1.0613005817741215,-0.1913232698113489,0.9562691039980998,0.07902215706341138,-0.05402418256073704,0.2763806923979336
4,0.8840718269348145,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.4498440701250853,1.0603938900787213,-0.18609524953903042,0.9562332948122133,0.08033379297735675,-0.05356467408708358,0.2762158454694348
5,0.9729881286621094,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.4516249923612924,1.0604707642016387,-0.18701653751201947,0.956129336550614,0.08027314377091295,-0.053521720183242055,0.27660140933307575
6,1.0656509399414062,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.450908555825147,1.0607943121741268,-0.18929308359241764,0.9562641329148502,0.0789667216953594,-0.0534879367599226,0.276518002282788
7,1.1558332443237305,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.45142731967352817,1.0621126053909344,-0.18862724719655874,0.9562591963748319,0.08032463068543434,-0.05385993361875794,0.27607138679043186
8,1.250647783279419,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.44655588578433997,1.06012370042112,-0.17967841148121685,0.9563730111717939,0.08234480060490237,-0.05305093177602394,0.27523734476489636
9,1.3473999500274658,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.45227599346198416,1.0602048970002018,-0.18863103172272966,0.9560597198150741,0.07932431865495998,-0.05427955102187244,0.2769678590701681
10,1.446530818939209,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.45186753249737616,1.061203362779992,-0.18947241247739938,0.9562032658818579,0.078418793498614,-0.05397090768332108,0.27679044106856254
