frame_idx,t_sec,origin_visible,origin_held_frames,origin_source,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_margin,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_margin_max,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
1,0.4987828731536865,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,-0.4205540517230851,1.1156201843016327,-0.29061500175903865,0.9486805095241567,-0.09507853657047582,-0.13370893232378747,0.2703466000330613
2,0.620549201965332,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.4659698853620956,1.0791208349291213,-0.20215613234857535,0.9592855815610782,0.08123726143270354,-0.05030978149852517,0.265783005945657
3,0.7448244094848633,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02529090668469469,0.7195008767394342,-0.7313682131666348,0.6932510986161708,0.6594778684060637,-0.20600383798566366,-0.20507138777811867,44.20650863647461,-0.02529090668469469,0.7195008767394342,-0.6313682131666348,0.6932510986161708,0.6594778684060637,-0.20600383798566366,-0.20507138777811867,,,,,,,,-0.02529090668469469,0.7195008767394342,-0.4313682131666348,0.6932510986161708,0.6594778684060637,-0.20600383798566366,-0.20507138777811867,-0.02529090668469469,0.7195008767394342,-0.4313682131666348,0.6932510986161708,0.6594778684060637,-0.20600383798566366,-0.20507138777811867,pelvis,1,5,-0.4539385795432905,1.0743001816947118,-0.26118209629017136,0.9440772659338823,0.03105555212047808,-0.19158831932165457,0.26654752771091644
4,0.8401756286621094,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02416527519645495,0.719194539420636,-0.7345906230110348,0.693994969784175,0.6586516462622404,-0.20585536932689286,-0.20535958148961878,45.89632034301758,-0.02416527519645495,0.719194539420636,-0.6345906230110349,0.693994969784175,0.6586516462622404,-0.20585536932689286,-0.20535958148961878,,,,,,,,-0.02416527519645495,0.719194539420636,-0.43459062301103485,0.693994969784175,0.6586516462622404,-0.20585536932689286,-0.20535958148961878,-0.02416527519645495,0.719194539420636,-0.43459062301103485,0.693994969784175,0.6586516462622404,-0.20585536932689286,-0.20535958148961878,pelvis,1,5,-0.4512405448033284,1.0745234208767716,-0.2654249627354415,0.9441235890274422,0.03019675035401351,-0.19038677710111537,0.26734187852831626
5,0.9377396106719971,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02394442044179179,0.7197665536011558,-0.7372564803091446,0.6946114371919058,0.6581970148464433,-0.20594400226205964,-0.2046428813853804,48.221153259277344,-0.02394442044179179,0.7197665536011558,-0.6372564803091446,0.6946114371919058,0.6581970148464433,-0.20594400226205964,-0.2046428813853804,,,,,,,,-0.02394442044179179,0.7197665536011558,-0.4372564803091446,0.6946114371919058,0.6581970148464433,-0.20594400226205964,-0.2046428813853804,-0.02394442044179179,0.7197665536011558,-0.4372564803091446,0.6946114371919058,0.6581970148464433,-0.20594400226205964,-0.2046428813853804,pelvis,1,5,-0.44931227451242534,1.0758857406254525,-0.26860029426691484,0.9443673139382793,0.029850341853355923,-0.1899217560564717,0.26685025769645304
6,1.0322930812835693,1,0,tag1,0,,,,,,,,0.0,1,7,-0.019434036846898373,0.719671761133513,-0.7355774107750216,0.6924949105393623,0.6610167935387989,-0.2044591198350716,-0.20421573360794998,44.6470947265625,-0.019434036846898373,0.719671761133513,-0.6355774107750216,0.6924949105393623,0.6610167935387989,-0.2044591198350716,-0.20421573360794998,,,,,,,,-0.019434036846898373,0.719671761133513,-0.4355774107750216,0.6924949105393623,0.6610167935387989,-0.2044591198350716,-0.20421573360794998,-0.019434036846898373,0.719671761133513,-0.4355774107750216,0.6924949105393623,0.6610167935387989,-0.2044591198350716,-0.20421573360794998,pelvis,1,5,-0.4537630586089339,1.0747489209344463,-0.2621737950598717,0.9440757961807661,0.030590023763168828,-0.19126034207796128,0.26684194396691574
7,1.129262924194336,1,0,tag1,0,,,,,,,,0.0,1,7,-0.020865006907591077,0.7198611790214003,-0.7379386862715076,0.6932850756284279,0.6601647166111629,-0.20406313107343407,-0.2046865637727461,44.68984603881836,-0.020865006907591077,0.7198611790214003,-0.6379386862715076,0.6932850756284279,0.6601647166111629,-0.20406313107343407,-0.2046865637727461,,,,,,,,-0.020865006907591077,0.7198611790214003,-0.4379386862715076,0.6932850756284279,0.6601647166111629,-0.20406313107343407,-0.2046865637727461,-0.020865006907591077,0.7198611790214003,-0.4379386862715076,0.6932850756284279,0.6601647166111629,-0.20406313107343407,-0.2046865637727461,pelvis,1,5,-0.4533196273388434,1.0756542168477208,-0.2644657001381969,0.9440669344097796,0.03027267313451796,-0.19031249483386786,0.2675861411312636
8,1.2244136333465576,1,0,tag1,0,,,,,,,,0.0,1,7,-0.024208203613429458,0.7197484091206031,-0.7362883505755592,0.6944834768346833,0.6583730270761143,-0.20527566837296476,-0.20518176721209128,45.673583984375,-0.024208203613429458,0.7197484091206031,-0.6362883505755592,0.6944834768346833,0.6583730270761143,-0.20527566837296476,-0.20518176721209128,,,,,,,,-0.024208203613429458,0.7197484091206031,-0.4362883505755592,0.6944834768346833,0.6583730270761143,-0.20527566837296476,-0.20518176721209128,-0.024208203613429458,0.7197484091206031,-0.4362883505755592,0.6944834768346833,0.6583730270761143,-0.20527566837296476,-0.20518176721209128,pelvis,1,5,-0.45112180644176714,1.0755415516074547,-0.26637026117202617,0.9444474291691938,0.029535014829610892,-0.18984202877669912,0.2666584717286558
9,1.3217430114746094,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02377481412114424,0.7196073138364983,-0.7336963883096411,0.6940649630248705,0.6577927277375806,-0.2063067996305092,-0.2074127741077085,45.52217483520508,-0.02377481412114424,0.7196073138364983,-0.6336963883096411,0.6940649630248705,0.6577927277375806,-0.2063067996305092,-0.2074127741077085,,,,,,,,-0.02377481412114424,0.7196073138364983,-0.43369638830964113,0.6940649630248705,0.6577927277375806,-0.2063067996305092,-0.2074127741077085,-0.02377481412114424,0.7196073138364983,-0.43369638830964113,0.6940649630248705,0.6577927277375806,-0.2063067996305092,-0.2074127741077085,pelvis,1,5,-0.44858872041906056,1.075816411925531,-0.26530520040501643,0.944578452928699,0.03023622577821734,-0.19015596121719522,0.26589100648024705
10,1.4178519248962402,1,0,tag1,0,,,,,,,,0.0,1,7,-0.019548158585848796,0.7192151482600001,-0.7377077714748086,0.6934430195643128,0.6595296804788622,-0.20684924141284378,-0.2033980592628878,45.102012634277344,-0.019548158585848796,0.7192151482600001,-0.6377077714748086,0.6934430195643128,0.6595296804788622,-0.20684924141284378,-0.2033980592628878,,,,,,,,-0.019548158585848796,0.7192151482600001,-0.4377077714748086,0.6934430195643128,0.6595296804788622,-0.20684924141284378,-0.2033980592628878,-0.019548158585848796,0.7192151482600001,-0.4377077714748086,0.6934430195643128,0.6595296804788622,-0.20684924141284378,-0.2033980592628878,pelvis,1,5,-0.4519586754237036,1.0756460074769592,-0.2651655622365764,0.9442722390457848,0.029345157946788148,-0.19116773817505586,0.2663525786501263
11,1.5129413604736328,1,0,tag1,0,,,,,,,,0.0,1,7,-0.025265641747084455,0.7190084742315279,-0.7366404633225156,0.6946441696062273,0.6576539840771772,-0.20684504207226534,-0.2053675812527722,48.419677734375,-0.025265641747084455,0.7190084742315279,-0.6366404633225157,0.6946441696062273,0.6576539840771772,-0.20684504207226534,-0.2053675812527722,,,,,,,,-0.025265641747084455,0.7190084742315279,-0.43664046332251566,0.6946441696062273,0.6576539840771772,-0.20684504207226534,-0.2053675812527722,-0.025265641747084455,0.7190084742315279,-0.43664046332251566,0.6946441696062273,0.6576539840771772,-0.20684504207226534,-0.2053675812527722,pelvis,1,5,-0.4703095233757996,1.0825251193654564,-0.20047104499412285,0.9590798360528439,0.08142965872034316,-0.05128233040690901,0.26628030596642926
12,1.6175360679626465,1,0,tag1,0,,,,,,,,0.0,1,7,-0.024722651098653348,0.7196073223649835,-0.736811221645417,0.6940191247983931,0.6583973542882736,-0.20631715024746772,-0.2056297930603391,46.142024993896484,-0.024722651098653348,0.7196073223649835,-0.636811221645417,0.6940191247983931,0.6583973542882736,-0.20631715024746772,-0.2056297930603391,,,,,,,,-0.024722651098653348,0.7196073223649835,-0.436811221645417,0.6940191247983931,0.6583973542882736,-0.20631715024746772,-0.2056297930603391,-0.024722651098653348,0.7196073223649835,-0.436811221645417,0.6940191247983931,0.6583973542882736,-0.20631715024746772,-0.2056297930603391,pelvis,1,5,-0.451726601804557,1.0756503361262755,-0.2666004220589434,0.9441643635307008,0.029862683658377076,-0.18988470668508078,0.267592363363582
13,1.7149896621704102,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02037653369379333,0.7181003029122321,-0.7377000526033188,0.6931914321199392,0.6597544055471399,-0.2058992686520465,-0.20448778439114706,44.68669891357422,-0.02037653369379333,0.7181003029122321,-0.6377000526033189,0.6931914321199392,0.6597544055471399,-0.2058992686520465,-0.20448778439114706,,,,,,,,-0.02037653369379333,0.7181003029122321,-0.43770005260331885,0.6931914321199392,0.6597544055471399,-0.2058992686520465,-0.20448778439114706,-0.02037653369379333,0.7181003029122321,-0.43770005260331885,0.6931914321199392,0.6597544055471399,-0.2058992686520465,-0.20448778439114706,pelvis,1,5,-0.44972479611755034,1.0744235418190826,-0.2673749435650814,0.9443924817509115,0.02939311321469071,-0.18975298427028203,0.2669319955876869
14,1.8150854110717773,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.45406471800498255,1.075172526790621,-0.26421414252427555,0.9442473299304329,0.029398298180589297,-0.19163809412616514,0.2660969012653558
15,1.9152264595031738,1,0,tag1,0,,,,,,,,0.0,1,7,-0.019708671528138932,0.7196348386562273,-0.7406675252013719,0.6941704765183028,0.658277529702954,-0.2070344359999128,-0.20477984697896215,45.81673049926758,-0.019708671528138932,0.7196348386562273,-0.6406675252013719,0.6941704765183028,0.658277529702954,-0.2070344359999128,-0.20477984697896215,,,,,,,,-0.019708671528138932,0.7196348386562273,-0.4406675252013719,0.6941704765183028,0.658277529702954,-0.2070344359999128,-0.20477984697896215,-0.019708671528138932,0.7196348386562273,-0.4406675252013719,0.6941704765183028,0.658277529702954,-0.2070344359999128,-0.20477984697896215,pelvis,1,5,-0.4506807436048555,1.0763805960910109,-0.2687012880036407,0.9442716387925066,0.02980199407352598,-0.18995948172178073,0.2671671922698369
16,2.0126872062683105,1,0,tag1,0,,,,,,,,0.0,1,7,-0.0196170643991882,0.7190425657778988,-0.7389109462461506,0.6936555619212145,0.6587404112845401,-0.20595194661388294,-0.2061233311451948,44.14339065551758,-0.0196170643991882,0.7190425657778988,-0.6389109462461506,0.6936555619212145,0.6587404112845401,-0.20595194661388294,-0.2061233311451948,,,,,,,,-0.0196170643991882,0.7190425657778988,-0.4389109462461506,0.6936555619212145,0.6587404112845401,-0.20595194661388294,-0.2061233311451948,-0.0196170643991882,0.7190425657778988,-0.4389109462461506,0.6936555619212145,0.6587404112845401,-0.20595194661388294,-0.2061233311451948,pelvis,1,5,-0.4480532220782152,1.0761656815219154,-0.26789004819002843,0.9446292808948701,0.02909941225968587,-0.18940738221359554,0.2663711497988749
17,2.1123831272125244,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02216122655684627,0.71997307920711,-0.7348126510493277,0.6932678448387858,0.6596021491338733,-0.20595733056549662,-0.20466137436481685,45.95209503173828,-0.02216122655684627,0.71997307920711,-0.6348126510493277,0.6932678448387858,0.6596021491338733,-0.20595733056549662,-0.20466137436481685,,,,,,,,-0.02216122655684627,0.71997307920711,-0.4348126510493277,0.6932678448387858,0.6596021491338733,-0.20595733056549662,-0.20466137436481685,-0.02216122655684627,0.71997307920711,-0.4348126510493277,0.6932678448387858,0.6596021491338733,-0.20595733056549662,-0.20466137436481685,pelvis,1,5,-0.4495873231479388,1.0749205030656968,-0.2651549374862023,0.9441454240291216,0.030742202878039304,-0.19059458657903092,0.2670543742645755
18,2.2128939628601074,1,0,tag1,0,,,,,,,,0.0,1,7,-0.019952319215540193,0.7196721823757195,-0.7393773184500008,0.6939455010483571,0.6585102785846175,-0.20695229250924793,-0.20487704409796875,45.1469841003418,-0.019952319215540193,0.7196721823757195,-0.6393773184500008,0.6939455010483571,0.6585102785846175,-0.20695229250924793,-0.20487704409796875,,,,,,,,-0.019952319215540193,0.7196721823757195,-0.4393773184500008,0.6939455010483571,0.6585102785846175,-0.20695229250924793,-0.20487704409796875,-0.019952319215540193,0.7196721823757195,-0.4393773184500008,0.6939455010483571,0.6585102785846175,-0.20695229250924793,-0.20487704409796875,pelvis,1,5,-0.44955227171336193,1.0751998398141407,-0.268062840616066,0.9443024870784984,0.030297716849074775,-0.18941558487108254,0.26738847667586846
19,2.3117477893829346,1,0,tag1,0,,,,,,,,0.0,1,7,-0.02284051968554901,0.7203418463103686,-0.733436023930239,0.6933617289886959,0.6598478224994864,-0.20517653536046823,-0.204335394031399,45.65498733520508,-0.02284051968554901,0.7203418463103686,-0.633436023930239,0.6933617289886959,0.6598478224994864,-0.20517653536046823,-0.204335394031399,,,,,,,,-0.02284051968554901,0.7203418463103686,-0.433436023930239,0.6933617289886959,0.6598478224994864,-0.20517653536046823,-0.204335394031399,-0.02284051968554901,0.7203418463103686,-0.433436023930239,0.6933617289886959,0.6598478224994864,-0.20517653536046823,-0.204335394031399,pelvis,1,5,-0.4513661596451703,1.0753124265398823,-0.2632735011107148,0.94404250585347,0.030337331183814892,-0.19137011335536933,0.26690985967719066
20,2.408270835876465,1,0,tag1,0,,,,,,,,0.0,1,7,-0.023566912644701565,0.7197441921586998,-0.7351988279048346,0.6935865983962335,0.65887494777058,-0.2060075213880843,-0.20586970359184864,45.3985710144043,-0.023566912644701565,0.7197441921586998,-0.6351988279048346,0.6935865983962335,0.65887494777058,-0.2060075213880843,-0.20586970359184864,,,,,,,,-0.023566912644701565,0.7197441921586998,-0.4351988279048346,0.6935865983962335,0.65887494777058,-0.2060075213880843,-0.20586970359184864,-0.023566912644701565,0.7197441921586998,-0.4351988279048346,0.6935865983962335,0.65887494777058,-0.2060075213880843,-0.20586970359184864,pelvis,1,5,-0.4487703467776134,1.0745716758647734,-0.2662654957138489,0.9444452920607481,0.030359153887238123,-0.18930970801748773,0.26695176817146765
21,2.505037784576416,1,0,tag1,0,,,,,,,,0.0,1,7,-0.025425837356568337,0.720321788107018,-0.7302962290255529,0.6933747160900317,0.6593491275089685,-0.20575872328525183,-0.20531336764140173,48.273746490478516,-0.025425837356568337,0.720321788107018,-0.6302962290255529,0.6933747160900317,0.6593491275089685,-0.20575872328525183,-0.20531336764140173,,,,,,,,-0.025425837356568337,0.720321788107018,-0.4302962290255529,0.6933747160900317,0.6593491275089685,-0.20575872328525183,-0.20531336764140173,-0.025425837356568337,0.720321788107018,-0.4302962290255529,0.6933747160900317,0.6593491275089685,-0.20575872328525183,-0.20531336764140173,pelvis,1,5,-0.45272044554834234,1.0751015777144088,-0.26107357582360247,0.9441242668746312,0.030759389413360136,-0.19190268347047604,0.2661890094241076
22,2.6029436588287354,1,0,tag1,0,,,,,,,,0.0,1,7,-0.020911532950663947,0.7203319539957838,-0.7332149112991931,0.6918520267519133,0.6615199835494231,-0.20545519967949918,-0.2037651721190305,45.73491287231445,-0.020911532950663947,0.7203319539957838,-0.6332149112991932,0.6918520267519133,0.6615199835494231,-0.20545519967949918,-0.2037651721190305,,,,,,,,-0.020911532950663947,0.7203319539957838,-0.43321491129919315,0.6918520267519133,0.6615199835494231,-0.20545519967949918,-0.2037651721190305,-0.020911532950663947,0.7203319539957838,-0.43321491129919315,0.6918520267519133,0.6615199835494231,-0.20545519967949918,-0.2037651721190305,pelvis,1,5,-0.45385254394738805,1.0750884713249576,-0.2595911473449293,0.9441079787780638,0.030776125864303613,-0.1918356755874142,0.26629312431285945
23,2.703108549118042,1,0,tag1,0,,,,,,,,0.0,1,7,-0.019980024511881744,0.7204939025189975,-0.734840766124868,0.692611552312343,0.6604166836221347,-0.204787099312443,-0.20542951480306681,46.352535247802734,-0.019980024511881744,0.7204939025189975,-0.6348407661248681,0.692611552312343,0.6604166836221347,-0.204787099312443,-0.20542951480306681,,,,,,,,-0.019980024511881744,0.7204939025189975,-0.43484076612486805,0.692611552312343,0.6604166836221347,-0.204787099312443,-0.20542951480306681,-0.019980024511881744,0.7204939025189975,-0.43484076612486805,0.692611552312343,0.6604166836221347,-0.204787099312443,-0.20542951480306681,pelvis,1,5,-0.4522325148452211,1.075874331837943,-0.2620395414447104,0.9444828865785629,0.03018489821278116,-0.19130854633834138,0.26540909739121643
24,2.796539545059204,1,0,tag1,0,,,,,,,,0.0,0,-1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.47110352003176204,1.081744283631303,-0.1962560737355826,0.9589088819856362,0.08259442644267716,-0.0518611666303977,0.26642510423268434
